[synthetic_bench] cube n=125 d=2 classes=7812748 merges=125 ...
[pe] round=  0 work=      250 frontier= 11718750 next=  3906250 consolidate=  7.825ms frontier=  5.492ms semisort=313.033ms (keyed=27.733ms group_by=227.936ms per_group=18.501ms)
[pe] round=  1 work=  3906250 frontier=  3906250 next=  1809098 consolidate= 55.240ms frontier= 15.152ms semisort=106.664ms (keyed= 9.742ms group_by= 64.764ms per_group= 7.727ms)
[pe] round= 12 work=     2048 frontier=     2048 next=     1024 consolidate=  0.451ms frontier=  0.121ms semisort=  0.623ms (keyed= 0.012ms group_by=  0.429ms per_group= 0.050ms)
[pe] round= 13 work=     1024 frontier=     1024 next=      512 consolidate=  0.260ms frontier=  0.080ms semisort=  0.342ms (keyed= 0.008ms group_by=  0.208ms per_group= 0.039ms)
[pe] round= 14 work=      512 frontier=      512 next=      256 consolidate=  0.159ms frontier=  0.063ms semisort=  0.200ms (keyed= 0.004ms group_by=  0.097ms per_group= 0.036ms)
[pe] round= 15 work=      256 frontier=      256 next=      128 consolidate=  0.100ms frontier=  0.043ms semisort=  0.127ms (keyed= 0.003ms group_by=  0.044ms per_group= 0.030ms)
[pe] round= 16 work=      128 frontier=      128 next=       64 consolidate=  0.076ms frontier=  0.034ms semisort=  0.085ms (keyed= 0.002ms group_by=  0.021ms per_group= 0.024ms)
[pe] round= 17 work=       64 frontier=       64 next=       32 consolidate=  0.048ms frontier=  0.017ms semisort=  0.054ms (keyed= 0.001ms group_by=  0.010ms per_group= 0.020ms)
[pe] round= 18 work=       32 frontier=       32 next=       16 consolidate=  0.023ms frontier=  0.009ms semisort=  0.019ms (keyed= 0.001ms group_by=  0.005ms per_group= 0.006ms)
[pe] round= 19 work=       16 frontier=       16 next=        8 consolidate=  0.018ms frontier=  0.005ms semisort=  0.011ms (keyed= 0.001ms group_by=  0.003ms per_group= 0.003ms)
[pe] round= 20 work=        8 frontier=        8 next=        4 consolidate=  0.015ms frontier=  0.004ms semisort=  0.007ms (keyed= 0.000ms group_by=  0.002ms per_group= 0.002ms)
[pe] round= 21 work=        4 frontier=        4 next=        2 consolidate=  0.006ms frontier=  0.002ms semisort=  0.005ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.001ms)
[pe] round= 22 work=        2 frontier=        0 next=        0 consolidate=  0.005ms frontier=  0.001ms semisort=  0.000ms (break)
[pe] round=  0 work=      250 frontier= 11718750 next=  3906250 consolidate=  1.200ms frontier=  2.115ms semisort= 93.712ms (keyed= 5.760ms group_by= 38.879ms per_group=14.647ms)
[pe] round=  1 work=  3906250 frontier=  3906250 next=  1809098 consolidate= 51.544ms frontier= 15.802ms semisort= 80.794ms (keyed= 1.689ms group_by= 48.147ms per_group= 7.077ms)
[pe] round=  2 work=  1809098 frontier=  1809098 next=  1048576 consolidate= 30.705ms frontier=  8.829ms semisort= 27.240ms (keyed= 0.807ms group_by=  8.424ms per_group= 4.422ms)
[pe] round=  3 work=  1048576 frontier=  1048576 next=   524288 consolidate= 24.060ms frontier=  6.897ms semisort= 16.761ms (keyed= 0.517ms group_by=  5.418ms per_group= 2.387ms)
[pe] round=  4 work=   524288 frontier=   524288 next=   262144 consolidate= 12.477ms frontier=  3.226ms semisort=  9.516ms (keyed= 0.283ms group_by=  3.563ms per_group= 1.380ms)
[pe] round=  5 work=   262144 frontier=   262144 next=   131072 consolidate=  6.533ms frontier=  1.689ms semisort=  6.458ms (keyed= 0.152ms group_by=  3.343ms per_group= 0.736ms)
[pe] round=  6 work=   131072 frontier=   131072 next=    65536 consolidate=  3.101ms frontier=  0.923ms semisort=  5.315ms (keyed= 0.096ms group_by=  3.578ms per_group= 0.402ms)
[pe] round=  7 work=    65536 frontier=    65536 next=    32768 consolidate=  1.554ms frontier=  0.541ms semisort=  2.779ms (keyed= 0.047ms group_by=  1.843ms per_group= 0.257ms)
[pe] round=  8 work=    32768 frontier=    32768 next=    16384 consolidate=  0.905ms frontier=  0.368ms semisort=  1.227ms (keyed= 0.030ms group_by=  0.658ms per_group= 0.182ms)
[pe] round=  9 work=    16384 frontier=    16384 next=     8192 consolidate=  3.233ms frontier=  0.259ms semisort=  0.869ms (keyed= 0.024ms group_by=  0.466ms per_group= 0.120ms)
[pe] round= 10 work=     8192 frontier=     8192 next=     4096 consolidate=  1.554ms frontier=  0.346ms semisort=  2.061ms (keyed= 0.022ms group_by=  1.619ms per_group= 0.084ms)
[pe] round= 11 work=     4096 frontier=     4096 next=     2048 consolidate=  0.834ms frontier=  0.192ms semisort=  1.082ms (keyed= 0.021ms group_by=  0.815ms per_group= 0.062ms)
[pe] round= 12 work=     2048 frontier=     2048 next=     1024 consolidate=  0.449ms frontier=  0.123ms semisort=  0.612ms (keyed= 0.014ms group_by=  0.430ms per_group= 0.049ms)
[pe] round= 13 work=     1024 frontier=     1024 next=      512 consolidate=  0.243ms frontier=  0.075ms semisort=  0.350ms (keyed= 0.010ms group_by=  0.214ms per_group= 0.039ms)
[pe] round= 14 work=      512 frontier=      512 next=      256 consolidate=  0.163ms frontier=  0.061ms semisort=  0.225ms (keyed= 0.005ms group_by=  0.119ms per_group= 0.033ms)
[pe] round= 15 work=      256 frontier=      256 next=      128 consolidate=  0.107ms frontier=  0.044ms semisort=  0.123ms (keyed= 0.003ms group_by=  0.047ms per_group= 0.022ms)
[pe] round= 16 work=      128 frontier=      128 next=       64 consolidate=  0.074ms frontier=  0.035ms semisort=  0.073ms (keyed= 0.002ms group_by=  0.020ms per_group= 0.020ms)
[pe] round= 17 work=       64 frontier=       64 next=       32 consolidate=  0.054ms frontier=  0.021ms semisort=  0.052ms (keyed= 0.001ms group_by=  0.009ms per_group= 0.018ms)
[pe] round= 18 work=       32 frontier=       32 next=       16 consolidate=  0.027ms frontier=  0.011ms semisort=  0.019ms (keyed= 0.001ms group_by=  0.005ms per_group= 0.006ms)
[pe] round= 19 work=       16 frontier=       16 next=        8 consolidate=  0.023ms frontier=  0.006ms semisort=  0.011ms (keyed= 0.001ms group_by=  0.003ms per_group= 0.003ms)
[pe] round= 20 work=        8 frontier=        8 next=        4 consolidate=  0.018ms frontier=  0.004ms semisort=  0.008ms (keyed= 0.000ms group_by=  0.002ms per_group= 0.002ms)
[pe] round= 21 work=        4 frontier=        4 next=        2 consolidate=  0.007ms frontier=  0.002ms semisort=  0.004ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.001ms)
[pe] round= 22 work=        2 frontier=        0 next=        0 consolidate=  0.004ms frontier=  0.002ms semisort=  0.000ms (break)
[pe] round=  0 work=      250 frontier= 11718750 next=  3906250 consolidate=  1.245ms frontier=  2.112ms semisort= 96.134ms (keyed= 5.773ms group_by= 38.784ms per_group=15.457ms)
[pe] round=  1 work=  3906250 frontier=  3906250 next=  1809098 consolidate= 59.276ms frontier= 15.792ms semisort= 77.520ms (keyed= 1.690ms group_by= 44.557ms per_group= 7.350ms)
[pe] round=  2 work=  1809098 frontier=  1809098 next=  1048576 consolidate= 30.505ms frontier=  8.995ms semisort= 24.395ms (keyed= 0.823ms group_by=  6.118ms per_group= 4.417ms)
[pe] round=  3 work=  1048576 frontier=  1048576 next=   524288 consolidate= 24.418ms frontier=  6.718ms semisort= 16.775ms (keyed= 0.515ms group_by=  5.414ms per_group= 2.337ms)
[pe] round=  4 work=   524288 frontier=   524288 next=   262144 consolidate= 12.416ms frontier=  3.217ms semisort= 10.511ms (keyed= 0.286ms group_by=  4.619ms per_group= 1.337ms)
[pe] round=  5 work=   262144 frontier=   262144 next=   131072 consolidate=  6.144ms frontier=  1.671ms semisort=  5.612ms (keyed= 0.153ms group_by=  2.513ms per_group= 0.736ms)
[pe] round=  6 work=   131072 frontier=   131072 next=    65536 consolidate=  3.136ms frontier=  0.904ms semisort=  4.049ms (keyed= 0.080ms group_by=  2.282ms per_group= 0.403ms)
[pe] round=  7 work=    65536 frontier=    65536 next=    32768 consolidate=  1.523ms frontier=  0.519ms semisort=  2.617ms (keyed= 0.049ms group_by=  1.715ms per_group= 0.255ms)
[pe] round=  8 work=    32768 frontier=    32768 next=    16384 consolidate=  0.904ms frontier=  0.388ms semisort=  1.191ms (keyed= 0.029ms group_by=  0.613ms per_group= 0.174ms)
[pe] round=  9 work=    16384 frontier=    16384 next=     8192 consolidate=  3.181ms frontier=  0.271ms semisort=  0.824ms (keyed= 0.025ms group_by=  0.424ms per_group= 0.125ms)
[pe] round= 10 work=     8192 frontier=     8192 next=     4096 consolidate=  1.627ms frontier=  0.347ms semisort=  2.006ms (keyed= 0.021ms group_by=  1.568ms per_group= 0.075ms)
[pe] round= 11 work=     4096 frontier=     4096 next=     2048 consolidate=  0.871ms frontier=  0.194ms semisort=  1.075ms (keyed= 0.016ms group_by=  0.796ms per_group= 0.065ms)
[pe] round= 12 work=     2048 frontier=     2048 next=     1024 consolidate=  0.452ms frontier=  0.120ms semisort=  0.601ms (keyed= 0.010ms group_by=  0.418ms per_group= 0.049ms)
[pe] round= 13 work=     1024 frontier=     1024 next=      512 consolidate=  0.258ms frontier=  0.079ms semisort=  0.339ms (keyed= 0.009ms group_by=  0.209ms per_group= 0.037ms)
[pe] round= 14 work=      512 frontier=      512 next=      256 consolidate=  0.164ms frontier=  0.060ms semisort=  0.192ms (keyed= 0.004ms group_by=  0.097ms per_group= 0.033ms)
[pe] round= 15 work=      256 frontier=      256 next=      128 consolidate=  0.105ms frontier=  0.043ms semisort=  0.115ms (keyed= 0.002ms group_by=  0.048ms per_group= 0.026ms)
[pe] round= 16 work=      128 frontier=      128 next=       64 consolidate=  0.070ms frontier=  0.035ms semisort=  0.080ms (keyed= 0.002ms group_by=  0.020ms per_group= 0.022ms)
[pe] round= 17 work=       64 frontier=       64 next=       32 consolidate=  0.053ms frontier=  0.017ms semisort=  0.049ms (keyed= 0.001ms group_by=  0.009ms per_group= 0.017ms)
[pe] round= 18 work=       32 frontier=       32 next=       16 consolidate=  0.031ms frontier=  0.011ms semisort=  0.019ms (keyed= 0.001ms group_by=  0.005ms per_group= 0.006ms)
[pe] round= 19 work=       16 frontier=       16 next=        8 consolidate=  0.016ms frontier=  0.006ms semisort=  0.012ms (keyed= 0.001ms group_by=  0.003ms per_group= 0.003ms)
[pe] round= 20 work=        8 frontier=        8 next=        4 consolidate=  0.015ms frontier=  0.003ms semisort=  0.008ms (keyed= 0.001ms group_by=  0.002ms per_group= 0.002ms)
[pe] round= 21 work=        4 frontier=        4 next=        2 consolidate=  0.007ms frontier=  0.002ms semisort=  0.005ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.001ms)
[pe] round= 22 work=        2 frontier=        0 next=        0 consolidate=  0.004ms frontier=  0.002ms semisort=  0.000ms (break)
[pe] round=  0 work=      250 frontier= 11718750 next=  3906250 consolidate=  1.240ms frontier=  2.091ms semisort= 97.275ms (keyed= 5.758ms group_by= 36.742ms per_group=15.479ms)
[pe] round=  1 work=  3906250 frontier=  3906250 next=  1809098 consolidate= 53.132ms frontier= 16.016ms semisort= 81.664ms (keyed= 1.647ms group_by= 47.694ms per_group= 7.644ms)
[pe] round=  2 work=  1809098 frontier=  1809098 next=  1048576 consolidate= 31.362ms frontier=  8.742ms semisort= 25.899ms (keyed= 0.811ms group_by=  7.502ms per_group= 4.481ms)
[pe] round=  3 work=  1048576 frontier=  1048576 next=   524288 consolidate= 25.079ms frontier=  6.919ms semisort= 16.791ms (keyed= 0.502ms group_by=  5.431ms per_group= 2.431ms)
[pe] round=  4 work=   524288 frontier=   524288 next=   262144 consolidate= 12.581ms frontier=  3.246ms semisort=  9.172ms (keyed= 0.285ms group_by=  3.121ms per_group= 1.361ms)
[pe] round=  5 work=   262144 frontier=   262144 next=   131072 consolidate=  6.223ms frontier=  1.690ms semisort=  5.732ms (keyed= 0.155ms group_by=  2.583ms per_group= 0.764ms)
[pe] round=  6 work=   131072 frontier=   131072 next=    65536 consolidate=  3.218ms frontier=  0.930ms semisort=  4.020ms (keyed= 0.102ms group_by=  2.212ms per_group= 0.396ms)
[pe] round=  7 work=    65536 frontier=    65536 next=    32768 consolidate=  1.558ms frontier=  0.546ms semisort=  2.526ms (keyed= 0.047ms group_by=  1.638ms per_group= 0.255ms)
[pe] round=  8 work=    32768 frontier=    32768 next=    16384 consolidate=  0.925ms frontier=  0.365ms semisort=  1.231ms (keyed= 0.029ms group_by=  0.641ms per_group= 0.177ms)
[pe] round=  9 work=    16384 frontier=    16384 next=     8192 consolidate=  3.186ms frontier=  0.255ms semisort=  0.911ms (keyed= 0.023ms group_by=  0.478ms per_group= 0.120ms)
[pe] round= 10 work=     8192 frontier=     8192 next=     4096 consolidate=  1.648ms frontier=  0.351ms semisort=  2.044ms (keyed= 0.017ms group_by=  1.617ms per_group= 0.082ms)
[pe] round= 11 work=     4096 frontier=     4096 next=     2048 consolidate=  0.863ms frontier=  0.187ms semisort=  1.106ms (keyed= 0.016ms group_by=  0.820ms per_group= 0.070ms)
[pe] round= 12 work=     2048 frontier=     2048 next=     1024 consolidate=  0.456ms frontier=  0.120ms semisort=  0.606ms (keyed= 0.012ms group_by=  0.419ms per_group= 0.048ms)
[pe] round= 13 work=     1024 frontier=     1024 next=      512 consolidate=  0.260ms frontier=  0.075ms semisort=  0.347ms (keyed= 0.009ms group_by=  0.205ms per_group= 0.045ms)
[pe] round= 14 work=      512 frontier=      512 next=      256 consolidate=  0.159ms frontier=  0.069ms semisort=  0.199ms (keyed= 0.004ms group_by=  0.103ms per_group= 0.030ms)
[pe] round= 15 work=      256 frontier=      256 next=      128 consolidate=  0.102ms frontier=  0.045ms semisort=  0.123ms (keyed= 0.003ms group_by=  0.047ms per_group= 0.028ms)
[pe] round= 16 work=      128 frontier=      128 next=       64 consolidate=  0.074ms frontier=  0.032ms semisort=  0.075ms (keyed= 0.002ms group_by=  0.022ms per_group= 0.021ms)
[pe] round= 17 work=       64 frontier=       64 next=       32 consolidate=  0.041ms frontier=  0.016ms semisort=  0.043ms (keyed= 0.001ms group_by=  0.010ms per_group= 0.013ms)
[pe] round= 18 work=       32 frontier=       32 next=       16 consolidate=  0.024ms frontier=  0.008ms semisort=  0.018ms (keyed= 0.001ms group_by=  0.005ms per_group= 0.006ms)
[pe] round= 19 work=       16 frontier=       16 next=        8 consolidate=  0.020ms frontier=  0.006ms semisort=  0.011ms (keyed= 0.001ms group_by=  0.003ms per_group= 0.003ms)
[pe] round= 20 work=        8 frontier=        8 next=        4 consolidate=  0.018ms frontier=  0.004ms semisort=  0.007ms (keyed= 0.000ms group_by=  0.002ms per_group= 0.002ms)
[pe] round= 21 work=        4 frontier=        4 next=        2 consolidate=  0.006ms frontier=  0.002ms semisort=  0.005ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.001ms)
[pe] round= 22 work=        2 frontier=        0 next=        0 consolidate=  0.004ms frontier=  0.002ms semisort=  0.000ms (break)
[pe] round=  0 work=      250 frontier= 11718750 next=  3906250 consolidate=  1.224ms frontier=  2.076ms semisort= 92.845ms (keyed= 5.798ms group_by= 37.152ms per_group=15.152ms)
[pe] round=  1 work=  3906250 frontier=  3906250 next=  1809098 consolidate= 56.715ms frontier= 17.633ms semisort= 62.196ms (keyed= 1.685ms group_by= 29.223ms per_group= 7.466ms)
[pe] round=  2 work=  1809098 frontier=  1809098 next=  1048576 consolidate= 30.394ms frontier=  8.798ms semisort= 24.995ms (keyed= 0.804ms group_by=  6.664ms per_group= 4.511ms)
[pe] round=  3 work=  1048576 frontier=  1048576 next=   524288 consolidate= 24.457ms frontier=  6.727ms semisort= 16.859ms (keyed= 0.513ms group_by=  5.301ms per_group= 2.470ms)
[pe] round=  4 work=   524288 frontier=   524288 next=   262144 consolidate= 12.249ms frontier=  3.217ms semisort=  9.143ms (keyed= 0.286ms group_by=  3.113ms per_group= 1.368ms)
[pe] round=  5 work=   262144 frontier=   262144 next=   131072 consolidate=  7.374ms frontier=  1.709ms semisort=  5.699ms (keyed= 0.156ms group_by=  2.529ms per_group= 0.740ms)
[pe] round=  6 work=   131072 frontier=   131072 next=    65536 consolidate=  3.093ms frontier=  0.930ms semisort=  4.122ms (keyed= 0.091ms group_by=  2.302ms per_group= 0.393ms)
[pe] round=  7 work=    65536 frontier=    65536 next=    32768 consolidate=  1.561ms frontier=  0.515ms semisort=  2.696ms (keyed= 0.046ms group_by=  1.794ms per_group= 0.258ms)
[pe] round=  8 work=    32768 frontier=    32768 next=    16384 consolidate=  0.907ms frontier=  0.367ms semisort=  1.501ms (keyed= 0.030ms group_by=  0.936ms per_group= 0.165ms)
[pe] round=  9 work=    16384 frontier=    16384 next=     8192 consolidate=  2.937ms frontier=  0.271ms semisort=  0.845ms (keyed= 0.021ms group_by=  0.458ms per_group= 0.114ms)
[pe] round= 10 work=     8192 frontier=     8192 next=     4096 consolidate=  1.505ms frontier=  0.311ms semisort=  1.613ms (keyed= 0.017ms group_by=  1.234ms per_group= 0.075ms)
[pe] round= 11 work=     4096 frontier=     4096 next=     2048 consolidate=  0.779ms frontier=  0.172ms semisort=  0.849ms (keyed= 0.015ms group_by=  0.587ms per_group= 0.052ms)
[pe] round= 12 work=     2048 frontier=     2048 next=     1024 consolidate=  0.420ms frontier=  0.114ms semisort=  0.478ms (keyed= 0.015ms group_by=  0.299ms per_group= 0.046ms)
[pe] round= 13 work=     1024 frontier=     1024 next=      512 consolidate=  0.220ms frontier=  0.088ms semisort=  0.286ms (keyed= 0.007ms group_by=  0.146ms per_group= 0.051ms)
[pe] round= 14 work=      512 frontier=      512 next=      256 consolidate=  0.142ms frontier=  0.064ms semisort=  0.158ms (keyed= 0.004ms group_by=  0.070ms per_group= 0.027ms)
[pe] round= 15 work=      256 frontier=      256 next=      128 consolidate=  0.100ms frontier=  0.043ms semisort=  0.099ms (keyed= 0.002ms group_by=  0.029ms per_group= 0.020ms)
[pe] round= 16 work=      128 frontier=      128 next=       64 consolidate=  0.066ms frontier=  0.030ms semisort=  0.068ms (keyed= 0.002ms group_by=  0.015ms per_group= 0.018ms)
[pe] round= 17 work=       64 frontier=       64 next=       32 consolidate=  0.039ms frontier=  0.014ms semisort=  0.040ms (keyed= 0.001ms group_by=  0.007ms per_group= 0.012ms)
[pe] round= 18 work=       32 frontier=       32 next=       16 consolidate=  0.027ms frontier=  0.008ms semisort=  0.014ms (keyed= 0.001ms group_by=  0.004ms per_group= 0.004ms)
[pe] round= 19 work=       16 frontier=       16 next=        8 consolidate=  0.016ms frontier=  0.005ms semisort=  0.008ms (keyed= 0.000ms group_by=  0.002ms per_group= 0.002ms)
[pe] round= 20 work=        8 frontier=        8 next=        4 consolidate=  0.017ms frontier=  0.003ms semisort=  0.005ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.001ms)
[pe] round= 21 work=        4 frontier=        4 next=        2 consolidate=  0.005ms frontier=  0.001ms semisort=  0.003ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.001ms)
[pe] round= 22 work=        2 frontier=        0 next=        0 consolidate=  0.003ms frontier=  0.001ms semisort=  0.000ms (break)
[pe] round=  0 work=      250 frontier= 11718750 next=  3906250 consolidate=  1.310ms frontier=  2.127ms semisort= 92.822ms (keyed= 5.795ms group_by= 36.941ms per_group=15.374ms)
[pe] round=  1 work=  3906250 frontier=  3906250 next=  1809098 consolidate= 53.636ms frontier= 16.088ms semisort= 78.972ms (keyed= 1.666ms group_by= 45.355ms per_group= 7.532ms)
[pe] round=  2 work=  1809098 frontier=  1809098 next=  1048576 consolidate= 30.958ms frontier=  8.640ms semisort= 25.523ms (keyed= 0.809ms group_by=  7.244ms per_group= 4.494ms)
[pe] round=  3 work=  1048576 frontier=  1048576 next=   524288 consolidate= 23.795ms frontier=  6.827ms semisort= 15.813ms (keyed= 0.520ms group_by=  4.497ms per_group= 2.470ms)
[pe] round=  4 work=   524288 frontier=   524288 next=   262144 consolidate= 12.531ms frontier=  3.255ms semisort=  9.084ms (keyed= 0.295ms group_by=  3.102ms per_group= 1.395ms)
[pe] round=  5 work=   262144 frontier=   262144 next=   131072 consolidate=  6.060ms frontier=  1.699ms semisort=  5.875ms (keyed= 0.157ms group_by=  2.838ms per_group= 0.744ms)
[pe] round=  6 work=   131072 frontier=   131072 next=    65536 consolidate=  3.069ms frontier=  0.951ms semisort=  4.059ms (keyed= 0.082ms group_by=  2.254ms per_group= 0.411ms)
[pe] round=  7 work=    65536 frontier=    65536 next=    32768 consolidate=  1.576ms frontier=  0.566ms semisort=  2.092ms (keyed= 0.048ms group_by=  1.106ms per_group= 0.268ms)
[pe] round=  8 work=    32768 frontier=    32768 next=    16384 consolidate=  0.862ms frontier=  0.366ms semisort=  1.204ms (keyed= 0.029ms group_by=  0.629ms per_group= 0.176ms)
[pe] round=  9 work=    16384 frontier=    16384 next=     8192 consolidate=  3.253ms frontier=  0.254ms semisort=  0.870ms (keyed= 0.024ms group_by=  0.460ms per_group= 0.127ms)
[pe] round= 10 work=     8192 frontier=     8192 next=     4096 consolidate=  1.624ms frontier=  0.353ms semisort=  2.095ms (keyed= 0.022ms group_by=  1.663ms per_group= 0.080ms)
[pe] round= 11 work=     4096 frontier=     4096 next=     2048 consolidate=  0.855ms frontier=  0.192ms semisort=  1.082ms (keyed= 0.016ms group_by=  0.815ms per_group= 0.059ms)
[pe] round= 12 work=     2048 frontier=     2048 next=     1024 consolidate=  0.467ms frontier=  0.126ms semisort=  0.616ms (keyed= 0.012ms group_by=  0.426ms per_group= 0.054ms)
[pe] round= 13 work=     1024 frontier=     1024 next=      512 consolidate=  0.265ms frontier=  0.080ms semisort=  0.351ms (keyed= 0.009ms group_by=  0.208ms per_group= 0.043ms)
[pe] round= 14 work=      512 frontier=      512 next=      256 consolidate=  0.164ms frontier=  0.058ms semisort=  0.210ms (keyed= 0.004ms group_by=  0.103ms per_group= 0.041ms)
[pe] round= 15 work=      256 frontier=      256 next=      128 consolidate=  0.100ms frontier=  0.049ms semisort=  0.138ms (keyed= 0.003ms group_by=  0.053ms per_group= 0.029ms)
[pe] round= 16 work=      128 frontier=      128 next=       64 consolidate=  0.074ms frontier=  0.030ms semisort=  0.084ms (keyed= 0.002ms group_by=  0.021ms per_group= 0.024ms)
[pe] round= 17 work=       64 frontier=       64 next=       32 consolidate=  0.051ms frontier=  0.022ms semisort=  0.048ms (keyed= 0.001ms group_by=  0.010ms per_group= 0.015ms)
[pe] round= 18 work=       32 frontier=       32 next=       16 consolidate=  0.032ms frontier=  0.013ms semisort=  0.020ms (keyed= 0.001ms group_by=  0.005ms per_group= 0.006ms)
[pe] round= 19 work=       16 frontier=       16 next=        8 consolidate=  0.021ms frontier=  0.006ms semisort=  0.011ms (keyed= 0.001ms group_by=  0.003ms per_group= 0.003ms)
[pe] round= 20 work=        8 frontier=        8 next=        4 consolidate=  0.013ms frontier=  0.004ms semisort=  0.007ms (keyed= 0.000ms group_by=  0.002ms per_group= 0.002ms)
[pe] round= 21 work=        4 frontier=        4 next=        2 consolidate=  0.007ms frontier=  0.002ms semisort=  0.004ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.001ms)
[pe] round= 22 work=        2 frontier=        0 next=        0 consolidate=  0.004ms frontier=  0.002ms semisort=  0.000ms (break)
