[gates_bench] ./miter-cc-benchmarks/hwmcc12_with_not/6s114-xits-opt.gates ...
  literals=3211512  NOT=1061874  gates=4390625  total_classes=8664011  read=0.053s parse=0.051s build=0.149s
[pe] round=  0 work=  8509525 frontier=  5063084 next=    59086 consolidate=190.933ms frontier= 28.147ms semisort= 58.764ms (keyed= 9.786ms group_by=  1.604ms per_group= 6.402ms)
[pe] round= 24 work=       25 frontier=      150 next=       25 consolidate=  0.021ms frontier=  0.002ms semisort=  0.037ms (keyed= 0.001ms group_by=  0.005ms per_group= 0.018ms)
[pe] round= 25 work=       25 frontier=      182 next=       25 consolidate=  0.027ms frontier=  0.001ms semisort=  0.039ms (keyed= 0.000ms group_by=  0.006ms per_group= 0.011ms)
[pe] round= 26 work=       25 frontier=      152 next=       23 consolidate=  0.027ms frontier=  0.002ms semisort=  0.029ms (keyed= 0.000ms group_by=  0.005ms per_group= 0.010ms)
[pe] round= 27 work=       23 frontier=      139 next=       21 consolidate=  0.016ms frontier=  0.002ms semisort=  0.030ms (keyed= 0.001ms group_by=  0.005ms per_group= 0.013ms)
[pe] round= 28 work=       21 frontier=      127 next=       21 consolidate=  0.021ms frontier=  0.001ms semisort=  0.029ms (keyed= 0.001ms group_by=  0.004ms per_group= 0.009ms)
[pe] round= 29 work=       21 frontier=      126 next=       16 consolidate=  0.022ms frontier=  0.002ms semisort=  0.026ms (keyed= 0.000ms group_by=  0.005ms per_group= 0.007ms)
[pe] round= 30 work=       16 frontier=       86 next=       14 consolidate=  0.011ms frontier=  0.002ms semisort=  0.020ms (keyed= 0.000ms group_by=  0.003ms per_group= 0.007ms)
[pe] round= 31 work=       14 frontier=       85 next=       14 consolidate=  0.016ms frontier=  0.001ms semisort=  0.022ms (keyed= 0.000ms group_by=  0.003ms per_group= 0.009ms)
[pe] round= 32 work=       14 frontier=       77 next=       14 consolidate=  0.017ms frontier=  0.002ms semisort=  0.021ms (keyed= 0.001ms group_by=  0.003ms per_group= 0.008ms)
[pe] round= 33 work=       14 frontier=      106 next=       12 consolidate=  0.016ms frontier=  0.001ms semisort=  0.024ms (keyed= 0.001ms group_by=  0.004ms per_group= 0.008ms)
[pe] round= 34 work=       12 frontier=       67 next=       10 consolidate=  0.010ms frontier=  0.002ms semisort=  0.019ms (keyed= 0.000ms group_by=  0.003ms per_group= 0.007ms)
[pe] round= 35 work=       10 frontier=       54 next=        6 consolidate=  0.012ms frontier=  0.001ms semisort=  0.012ms (keyed= 0.000ms group_by=  0.002ms per_group= 0.003ms)
[pe] round= 36 work=        6 frontier=       23 next=        4 consolidate=  0.006ms frontier=  0.001ms semisort=  0.007ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.002ms)
[pe] round= 37 work=        4 frontier=       41 next=        4 consolidate=  0.005ms frontier=  0.001ms semisort=  0.009ms (keyed= 0.000ms group_by=  0.002ms per_group= 0.002ms)
[pe] round= 38 work=        4 frontier=       24 next=        5 consolidate=  0.005ms frontier=  0.001ms semisort=  0.007ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.003ms)
[pe] round= 39 work=        5 frontier=       13 next=        3 consolidate=  0.006ms frontier=  0.001ms semisort=  0.005ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.002ms)
[pe] round= 40 work=        3 frontier=        4 next=        2 consolidate=  0.004ms frontier=  0.001ms semisort=  0.003ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.001ms)
[pe] round= 41 work=        2 frontier=       26 next=        2 consolidate=  0.003ms frontier=  0.001ms semisort=  0.006ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.002ms)
[pe] round= 42 work=        2 frontier=        8 next=        2 consolidate=  0.002ms frontier=  0.000ms semisort=  0.003ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.001ms)
[pe] round= 43 work=        2 frontier=        8 next=        2 consolidate=  0.002ms frontier=  0.000ms semisort=  0.004ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.001ms)
[pe] round= 44 work=        2 frontier=        4 next=        2 consolidate=  0.002ms frontier=  0.000ms semisort=  0.003ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.001ms)
[pe] round= 45 work=        2 frontier=       26 next=        2 consolidate=  0.003ms frontier=  0.000ms semisort=  0.006ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.001ms)
[pe] round= 46 work=        2 frontier=        8 next=        2 consolidate=  0.003ms frontier=  0.000ms semisort=  0.003ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.001ms)
[pe] round= 47 work=        2 frontier=        8 next=        2 consolidate=  0.003ms frontier=  0.000ms semisort=  0.004ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.001ms)
[pe] round= 48 work=        2 frontier=        4 next=        2 consolidate=  0.003ms frontier=  0.000ms semisort=  0.003ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.001ms)
[pe] round= 49 work=        2 frontier=       20 next=        2 consolidate=  0.003ms frontier=  0.000ms semisort=  0.005ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.001ms)
[pe] round= 50 work=        2 frontier=        4 next=        2 consolidate=  0.003ms frontier=  0.000ms semisort=  0.002ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.001ms)
[pe] round= 51 work=        2 (tail-skip: all parents empty)
[pe] round=  0 work=  8509525 frontier=  5063084 next=    59086 consolidate=195.778ms frontier= 23.128ms semisort= 59.156ms (keyed=10.517ms group_by=  1.582ms per_group= 6.432ms)
[pe] round=  1 work=    59086 frontier=   551494 next=    13151 consolidate=  6.610ms frontier=  1.860ms semisort=  7.545ms (keyed= 1.548ms group_by=  0.205ms per_group= 1.100ms)
[pe] round=  2 work=    13151 frontier=   120430 next=    10937 consolidate=  1.300ms frontier=  0.216ms semisort=  3.029ms (keyed= 0.036ms group_by=  1.213ms per_group= 0.774ms)
[pe] round=  3 work=    10937 frontier=    64865 next=     7757 consolidate=  1.138ms frontier=  0.231ms semisort=  2.006ms (keyed= 0.097ms group_by=  0.737ms per_group= 0.454ms)
[pe] round=  4 work=     7757 frontier=    25747 next=     3790 consolidate=  1.568ms frontier=  0.241ms semisort=  0.912ms (keyed= 0.014ms group_by=  0.268ms per_group= 0.243ms)
[pe] round=  5 work=     3790 frontier=    12633 next=     1812 consolidate=  0.789ms frontier=  0.116ms semisort=  0.580ms (keyed= 0.010ms group_by=  0.171ms per_group= 0.147ms)
[pe] round=  6 work=     1812 frontier=     6864 next=      994 consolidate=  0.404ms frontier=  0.071ms semisort=  0.701ms (keyed= 0.011ms group_by=  0.443ms per_group= 0.112ms)
[pe] round=  7 work=      994 frontier=     3763 next=      546 consolidate=  0.271ms frontier=  0.059ms semisort=  0.514ms (keyed= 0.083ms group_by=  0.215ms per_group= 0.120ms)
[pe] round=  8 work=      546 frontier=     2568 next=      361 consolidate=  0.113ms frontier=  0.032ms semisort=  0.375ms (keyed= 0.006ms group_by=  0.161ms per_group= 0.092ms)
[pe] round=  9 work=      361 frontier=     1974 next=      271 consolidate=  0.091ms frontier=  0.020ms semisort=  0.205ms (keyed= 0.005ms group_by=  0.067ms per_group= 0.035ms)
[pe] round= 10 work=      271 frontier=      934 next=      119 consolidate=  0.085ms frontier=  0.014ms semisort=  0.161ms (keyed= 0.002ms group_by=  0.034ms per_group= 0.047ms)
[pe] round= 11 work=      119 frontier=      539 next=       96 consolidate=  0.056ms frontier=  0.007ms semisort=  0.117ms (keyed= 0.001ms group_by=  0.023ms per_group= 0.036ms)
[pe] round= 12 work=       96 frontier=      455 next=       75 consolidate=  0.029ms frontier=  0.006ms semisort=  0.082ms (keyed= 0.001ms group_by=  0.014ms per_group= 0.022ms)
[pe] round= 13 work=       75 frontier=      522 next=       87 consolidate=  0.056ms frontier=  0.004ms semisort=  0.094ms (keyed= 0.001ms group_by=  0.019ms per_group= 0.024ms)
[pe] round= 14 work=       87 frontier=      349 next=       67 consolidate=  0.054ms frontier=  0.005ms semisort=  0.070ms (keyed= 0.001ms group_by=  0.012ms per_group= 0.025ms)
[pe] round= 15 work=       67 frontier=      315 next=       56 consolidate=  0.063ms frontier=  0.004ms semisort=  0.061ms (keyed= 0.001ms group_by=  0.012ms per_group= 0.021ms)
[pe] round= 16 work=       56 frontier=      294 next=       48 consolidate=  0.022ms frontier=  0.005ms semisort=  0.061ms (keyed= 0.001ms group_by=  0.014ms per_group= 0.015ms)
[pe] round= 17 work=       48 frontier=      546 next=      104 consolidate=  0.048ms frontier=  0.002ms semisort=  0.089ms (keyed= 0.002ms group_by=  0.017ms per_group= 0.048ms)
[pe] round= 18 work=      104 frontier=     1028 next=       86 consolidate=  0.073ms frontier=  0.006ms semisort=  0.159ms (keyed= 0.002ms group_by=  0.033ms per_group= 0.043ms)
[pe] round= 19 work=       86 frontier=      674 next=       34 consolidate=  0.059ms frontier=  0.005ms semisort=  0.083ms (keyed= 0.001ms group_by=  0.018ms per_group= 0.016ms)
[pe] round= 20 work=       34 frontier=      184 next=       31 consolidate=  0.036ms frontier=  0.002ms semisort=  0.035ms (keyed= 0.001ms group_by=  0.006ms per_group= 0.011ms)
[pe] round= 21 work=       31 frontier=      202 next=       27 consolidate=  0.034ms frontier=  0.002ms semisort=  0.038ms (keyed= 0.001ms group_by=  0.007ms per_group= 0.013ms)
[pe] round= 22 work=       27 frontier=      161 next=       25 consolidate=  0.028ms frontier=  0.002ms semisort=  0.039ms (keyed= 0.001ms group_by=  0.006ms per_group= 0.013ms)
[pe] round= 23 work=       25 frontier=      155 next=       25 consolidate=  0.027ms frontier=  0.002ms semisort=  0.035ms (keyed= 0.001ms group_by=  0.005ms per_group= 0.011ms)
[pe] round= 24 work=       25 frontier=      150 next=       25 consolidate=  0.027ms frontier=  0.002ms semisort=  0.032ms (keyed= 0.000ms group_by=  0.005ms per_group= 0.010ms)
[pe] round= 25 work=       25 frontier=      182 next=       25 consolidate=  0.015ms frontier=  0.003ms semisort=  0.034ms (keyed= 0.001ms group_by=  0.006ms per_group= 0.015ms)
[pe] round= 26 work=       25 frontier=      152 next=       23 consolidate=  0.015ms frontier=  0.006ms semisort=  0.032ms (keyed= 0.001ms group_by=  0.005ms per_group= 0.011ms)
[pe] round= 27 work=       23 frontier=      139 next=       21 consolidate=  0.026ms frontier=  0.002ms semisort=  0.031ms (keyed= 0.001ms group_by=  0.005ms per_group= 0.010ms)
[pe] round= 28 work=       21 frontier=      127 next=       21 consolidate=  0.023ms frontier=  0.002ms semisort=  0.029ms (keyed= 0.000ms group_by=  0.005ms per_group= 0.009ms)
[pe] round= 29 work=       21 frontier=      126 next=       16 consolidate=  0.014ms frontier=  0.003ms semisort=  0.023ms (keyed= 0.001ms group_by=  0.004ms per_group= 0.009ms)
[pe] round= 30 work=       16 frontier=       86 next=       14 consolidate=  0.017ms frontier=  0.002ms semisort=  0.020ms (keyed= 0.000ms group_by=  0.003ms per_group= 0.007ms)
[pe] round= 31 work=       14 frontier=       85 next=       14 consolidate=  0.012ms frontier=  0.002ms semisort=  0.021ms (keyed= 0.000ms group_by=  0.003ms per_group= 0.009ms)
[pe] round= 32 work=       14 frontier=       77 next=       14 consolidate=  0.015ms frontier=  0.002ms semisort=  0.019ms (keyed= 0.001ms group_by=  0.003ms per_group= 0.007ms)
[pe] round= 33 work=       14 frontier=      106 next=       12 consolidate=  0.012ms frontier=  0.002ms semisort=  0.022ms (keyed= 0.001ms group_by=  0.003ms per_group= 0.008ms)
[pe] round= 34 work=       12 frontier=       67 next=       10 consolidate=  0.012ms frontier=  0.002ms semisort=  0.017ms (keyed= 0.000ms group_by=  0.003ms per_group= 0.005ms)
[pe] round= 35 work=       10 frontier=       54 next=        6 consolidate=  0.009ms frontier=  0.002ms semisort=  0.015ms (keyed= 0.000ms group_by=  0.002ms per_group= 0.006ms)
[pe] round= 36 work=        6 frontier=       23 next=        4 consolidate=  0.008ms frontier=  0.001ms semisort=  0.007ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.002ms)
[pe] round= 37 work=        4 frontier=       41 next=        4 consolidate=  0.005ms frontier=  0.001ms semisort=  0.010ms (keyed= 0.000ms group_by=  0.002ms per_group= 0.002ms)
[pe] round= 38 work=        4 frontier=       24 next=        5 consolidate=  0.005ms frontier=  0.001ms semisort=  0.007ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.003ms)
[pe] round= 39 work=        5 frontier=       13 next=        3 consolidate=  0.006ms frontier=  0.001ms semisort=  0.005ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.002ms)
[pe] round= 40 work=        3 frontier=        4 next=        2 consolidate=  0.006ms frontier=  0.001ms semisort=  0.003ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.001ms)
[pe] round= 41 work=        2 frontier=       26 next=        2 consolidate=  0.003ms frontier=  0.001ms semisort=  0.006ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.002ms)
[pe] round= 42 work=        2 frontier=        8 next=        2 consolidate=  0.003ms frontier=  0.001ms semisort=  0.004ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.001ms)
[pe] round= 43 work=        2 frontier=        8 next=        2 consolidate=  0.003ms frontier=  0.000ms semisort=  0.004ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.001ms)
[pe] round= 44 work=        2 frontier=        4 next=        2 consolidate=  0.003ms frontier=  0.000ms semisort=  0.003ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.001ms)
[pe] round= 45 work=        2 frontier=       26 next=        2 consolidate=  0.003ms frontier=  0.000ms semisort=  0.006ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.001ms)
[pe] round= 46 work=        2 frontier=        8 next=        2 consolidate=  0.003ms frontier=  0.000ms semisort=  0.003ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.001ms)
[pe] round= 47 work=        2 frontier=        8 next=        2 consolidate=  0.003ms frontier=  0.000ms semisort=  0.004ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.001ms)
[pe] round= 48 work=        2 frontier=        4 next=        2 consolidate=  0.003ms frontier=  0.000ms semisort=  0.003ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.001ms)
[pe] round= 49 work=        2 frontier=       20 next=        2 consolidate=  0.003ms frontier=  0.000ms semisort=  0.006ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.002ms)
[pe] round= 50 work=        2 frontier=        4 next=        2 consolidate=  0.003ms frontier=  0.000ms semisort=  0.002ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.001ms)
[pe] round= 51 work=        2 (tail-skip: all parents empty)
[pe] round=  0 work=  8509525 frontier=  5063084 next=    59086 consolidate=206.526ms frontier= 23.185ms semisort= 59.242ms (keyed=10.211ms group_by=  1.604ms per_group= 6.639ms)
[pe] round=  1 work=    59086 frontier=   551494 next=    13151 consolidate=  5.969ms frontier=  1.949ms semisort=  7.486ms (keyed= 1.468ms group_by=  0.204ms per_group= 1.071ms)
[pe] round=  2 work=    13151 frontier=   120430 next=    10937 consolidate=  1.317ms frontier=  0.166ms semisort=  4.000ms (keyed= 0.035ms group_by=  2.106ms per_group= 0.711ms)
[pe] round=  3 work=    10937 frontier=    64865 next=     7757 consolidate=  1.315ms frontier=  0.289ms semisort=  1.887ms (keyed= 0.021ms group_by=  0.707ms per_group= 0.461ms)
[pe] round=  4 work=     7757 frontier=    25747 next=     3790 consolidate=  1.564ms frontier=  0.241ms semisort=  0.945ms (keyed= 0.016ms group_by=  0.281ms per_group= 0.244ms)
[pe] round=  5 work=     3790 frontier=    12633 next=     1812 consolidate=  0.812ms frontier=  0.118ms semisort=  0.579ms (keyed= 0.014ms group_by=  0.189ms per_group= 0.142ms)
[pe] round=  6 work=     1812 frontier=     6864 next=      994 consolidate=  0.386ms frontier=  0.073ms semisort=  0.677ms (keyed= 0.013ms group_by=  0.404ms per_group= 0.109ms)
[pe] round=  7 work=      994 frontier=     3763 next=      546 consolidate=  0.256ms frontier=  0.058ms semisort=  0.381ms (keyed= 0.012ms group_by=  0.178ms per_group= 0.098ms)
[pe] round=  8 work=      546 frontier=     2568 next=      361 consolidate=  0.115ms frontier=  0.033ms semisort=  0.381ms (keyed= 0.006ms group_by=  0.161ms per_group= 0.091ms)
[pe] round=  9 work=      361 frontier=     1974 next=      271 consolidate=  0.092ms frontier=  0.021ms semisort=  0.257ms (keyed= 0.005ms group_by=  0.070ms per_group= 0.088ms)
[pe] round= 10 work=      271 frontier=      934 next=      119 consolidate=  0.115ms frontier=  0.013ms semisort=  0.158ms (keyed= 0.002ms group_by=  0.032ms per_group= 0.048ms)
[pe] round= 11 work=      119 frontier=      539 next=       96 consolidate=  0.058ms frontier=  0.006ms semisort=  0.116ms (keyed= 0.001ms group_by=  0.021ms per_group= 0.036ms)
[pe] round= 12 work=       96 frontier=      455 next=       75 consolidate=  0.031ms frontier=  0.006ms semisort=  0.092ms (keyed= 0.001ms group_by=  0.013ms per_group= 0.026ms)
[pe] round= 13 work=       75 frontier=      522 next=       87 consolidate=  0.030ms frontier=  0.006ms semisort=  0.087ms (keyed= 0.001ms group_by=  0.018ms per_group= 0.018ms)
[pe] round= 14 work=       87 frontier=      349 next=       67 consolidate=  0.057ms frontier=  0.006ms semisort=  0.067ms (keyed= 0.001ms group_by=  0.012ms per_group= 0.028ms)
[pe] round= 15 work=       67 frontier=      315 next=       56 consolidate=  0.051ms frontier=  0.004ms semisort=  0.061ms (keyed= 0.001ms group_by=  0.013ms per_group= 0.028ms)
[pe] round= 16 work=       56 frontier=      294 next=       48 consolidate=  0.027ms frontier=  0.005ms semisort=  0.063ms (keyed= 0.001ms group_by=  0.010ms per_group= 0.020ms)
[pe] round= 17 work=       48 frontier=      546 next=      104 consolidate=  0.048ms frontier=  0.003ms semisort=  0.092ms (keyed= 0.001ms group_by=  0.016ms per_group= 0.043ms)
[pe] round= 18 work=      104 frontier=     1028 next=       86 consolidate=  0.075ms frontier=  0.006ms semisort=  0.159ms (keyed= 0.002ms group_by=  0.030ms per_group= 0.051ms)
[pe] round= 19 work=       86 frontier=      674 next=       34 consolidate=  0.061ms frontier=  0.005ms semisort=  0.085ms (keyed= 0.001ms group_by=  0.017ms per_group= 0.020ms)
[pe] round= 20 work=       34 frontier=      184 next=       31 consolidate=  0.035ms frontier=  0.002ms semisort=  0.038ms (keyed= 0.000ms group_by=  0.006ms per_group= 0.012ms)
[pe] round= 21 work=       31 frontier=      202 next=       27 consolidate=  0.032ms frontier=  0.002ms semisort=  0.039ms (keyed= 0.001ms group_by=  0.007ms per_group= 0.012ms)
[pe] round= 22 work=       27 frontier=      161 next=       25 consolidate=  0.030ms frontier=  0.002ms semisort=  0.037ms (keyed= 0.001ms group_by=  0.006ms per_group= 0.012ms)
[pe] round= 23 work=       25 frontier=      155 next=       25 consolidate=  0.027ms frontier=  0.001ms semisort=  0.037ms (keyed= 0.000ms group_by=  0.005ms per_group= 0.012ms)
[pe] round= 24 work=       25 frontier=      150 next=       25 consolidate=  0.026ms frontier=  0.001ms semisort=  0.035ms (keyed= 0.000ms group_by=  0.005ms per_group= 0.015ms)
[pe] round= 25 work=       25 frontier=      182 next=       25 consolidate=  0.018ms frontier=  0.002ms semisort=  0.035ms (keyed= 0.000ms group_by=  0.006ms per_group= 0.011ms)
[pe] round= 26 work=       25 frontier=      152 next=       23 consolidate=  0.016ms frontier=  0.003ms semisort=  0.030ms (keyed= 0.001ms group_by=  0.005ms per_group= 0.009ms)
[pe] round= 27 work=       23 frontier=      139 next=       21 consolidate=  0.024ms frontier=  0.001ms semisort=  0.031ms (keyed= 0.001ms group_by=  0.005ms per_group= 0.013ms)
[pe] round= 28 work=       21 frontier=      127 next=       21 consolidate=  0.023ms frontier=  0.002ms semisort=  0.031ms (keyed= 0.000ms group_by=  0.004ms per_group= 0.010ms)
[pe] round= 29 work=       21 frontier=      126 next=       16 consolidate=  0.015ms frontier=  0.002ms semisort=  0.026ms (keyed= 0.000ms group_by=  0.004ms per_group= 0.009ms)
[pe] round= 30 work=       16 frontier=       86 next=       14 consolidate=  0.018ms frontier=  0.002ms semisort=  0.021ms (keyed= 0.000ms group_by=  0.003ms per_group= 0.007ms)
[pe] round= 31 work=       14 frontier=       85 next=       14 consolidate=  0.014ms frontier=  0.002ms semisort=  0.021ms (keyed= 0.001ms group_by=  0.003ms per_group= 0.008ms)
[pe] round= 32 work=       14 frontier=       77 next=       14 consolidate=  0.013ms frontier=  0.002ms semisort=  0.020ms (keyed= 0.001ms group_by=  0.003ms per_group= 0.007ms)
[pe] round= 33 work=       14 frontier=      106 next=       12 consolidate=  0.016ms frontier=  0.001ms semisort=  0.026ms (keyed= 0.001ms group_by=  0.003ms per_group= 0.008ms)
[pe] round= 34 work=       12 frontier=       67 next=       10 consolidate=  0.012ms frontier=  0.002ms semisort=  0.018ms (keyed= 0.001ms group_by=  0.003ms per_group= 0.005ms)
[pe] round= 35 work=       10 frontier=       54 next=        6 consolidate=  0.012ms frontier=  0.001ms semisort=  0.015ms (keyed= 0.000ms group_by=  0.002ms per_group= 0.005ms)
[pe] round= 36 work=        6 frontier=       23 next=        4 consolidate=  0.007ms frontier=  0.002ms semisort=  0.008ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.002ms)
[pe] round= 37 work=        4 frontier=       41 next=        4 consolidate=  0.005ms frontier=  0.001ms semisort=  0.010ms (keyed= 0.000ms group_by=  0.002ms per_group= 0.003ms)
[pe] round= 38 work=        4 frontier=       24 next=        5 consolidate=  0.005ms frontier=  0.001ms semisort=  0.008ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.002ms)
[pe] round= 39 work=        5 frontier=       13 next=        3 consolidate=  0.005ms frontier=  0.001ms semisort=  0.005ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.002ms)
[pe] round= 40 work=        3 frontier=        4 next=        2 consolidate=  0.005ms frontier=  0.001ms semisort=  0.003ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.001ms)
[pe] round= 41 work=        2 frontier=       26 next=        2 consolidate=  0.003ms frontier=  0.001ms semisort=  0.006ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.002ms)
[pe] round= 42 work=        2 frontier=        8 next=        2 consolidate=  0.003ms frontier=  0.000ms semisort=  0.003ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.001ms)
[pe] round= 43 work=        2 frontier=        8 next=        2 consolidate=  0.003ms frontier=  0.000ms semisort=  0.004ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.001ms)
[pe] round= 44 work=        2 frontier=        4 next=        2 consolidate=  0.006ms frontier=  0.000ms semisort=  0.003ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.001ms)
[pe] round= 45 work=        2 frontier=       26 next=        2 consolidate=  0.003ms frontier=  0.000ms semisort=  0.006ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.001ms)
[pe] round= 46 work=        2 frontier=        8 next=        2 consolidate=  0.003ms frontier=  0.000ms semisort=  0.003ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.001ms)
[pe] round= 47 work=        2 frontier=        8 next=        2 consolidate=  0.003ms frontier=  0.000ms semisort=  0.004ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.001ms)
