[gates_bench] ./miter-cc-benchmarks/hwmcc12_with_not/6s163-ands-opt.gates ...
  literals=5133510  NOT=2412539  gates=6042399  total_classes=13588448  read=0.077s parse=0.065s build=0.233s
[pe] round=  0 work= 13507445 frontier=  7639846 next=    15676 consolidate= 97.522ms frontier= 15.890ms semisort= 39.132ms (keyed=18.020ms group_by=  0.983ms per_group= 2.560ms)
[pe] round=  1 work=    15676 frontier=   140514 next=    15213 consolidate=  0.785ms frontier=  0.305ms semisort=  2.435ms (keyed= 0.114ms group_by=  1.130ms per_group= 0.486ms)
[pe] round=  2 work=    15213 frontier=    79174 next=     1028 consolidate=  0.724ms frontier=  0.202ms semisort=  1.669ms (keyed= 0.022ms group_by=  1.136ms per_group= 0.172ms)
[pe] round=  3 work=     1028 frontier=    21790 next=      729 consolidate=  0.290ms frontier=  0.066ms semisort=  0.668ms (keyed= 0.023ms group_by=  0.261ms per_group= 0.203ms)
[pe] round=  4 work=      729 frontier=    11103 next=     1581 consolidate=  0.207ms frontier=  0.049ms semisort=  0.428ms (keyed= 0.016ms group_by=  0.167ms per_group= 0.113ms)
[pe] round=  5 work=     1581 frontier=     8676 next=     1320 consolidate=  0.371ms frontier=  0.063ms semisort=  0.825ms (keyed= 0.017ms group_by=  0.568ms per_group= 0.109ms)
[pe] round=  6 work=     1320 frontier=     2863 next=      110 consolidate=  0.348ms frontier=  0.065ms semisort=  0.358ms (keyed= 0.017ms group_by=  0.211ms per_group= 0.059ms)
[pe] round=  7 work=      110 frontier=      579 next=       71 consolidate=  0.038ms frontier=  0.010ms semisort=  0.125ms (keyed= 0.003ms group_by=  0.043ms per_group= 0.037ms)
[pe] round=  8 work=       71 frontier=     1350 next=       36 consolidate=  0.041ms frontier=  0.007ms semisort=  0.155ms (keyed= 0.005ms group_by=  0.091ms per_group= 0.019ms)
[pe] round=  9 work=       36 frontier=      706 next=       14 consolidate=  0.039ms frontier=  0.005ms semisort=  0.141ms (keyed= 0.002ms group_by=  0.088ms per_group= 0.017ms)
[pe] round= 10 work=       14 frontier=       57 next=       13 consolidate=  0.015ms frontier=  0.003ms semisort=  0.023ms (keyed= 0.001ms group_by=  0.004ms per_group= 0.008ms)
[pe] round= 11 work=       13 frontier=       54 next=       11 consolidate=  0.020ms frontier=  0.003ms semisort=  0.017ms (keyed= 0.000ms group_by=  0.003ms per_group= 0.006ms)
[pe] round= 12 work=       11 frontier=       41 next=       10 consolidate=  0.016ms frontier=  0.002ms semisort=  0.016ms (keyed= 0.000ms group_by=  0.003ms per_group= 0.007ms)
[pe] round= 13 work=       10 frontier=       39 next=        9 consolidate=  0.016ms frontier=  0.002ms semisort=  0.010ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.004ms)
[pe] round= 14 work=        9 frontier=       26 next=        6 consolidate=  0.010ms frontier=  0.001ms semisort=  0.006ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.002ms)
[pe] round= 15 work=        6 frontier=       17 next=        3 consolidate=  0.012ms frontier=  0.002ms semisort=  0.006ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.002ms)
[pe] round= 16 work=        3 frontier=        8 next=        2 consolidate=  0.007ms frontier=  0.001ms semisort=  0.004ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.001ms)
[pe] round= 17 work=        2 frontier=        6 next=        1 consolidate=  0.003ms frontier=  0.001ms semisort=  0.003ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.001ms)
[pe] round= 18 work=        1 frontier=        2 next=        1 consolidate=  0.002ms frontier=  0.001ms semisort=  0.002ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.001ms)
[pe] round= 19 work=        1 frontier=        4 next=        1 consolidate=  0.002ms frontier=  0.000ms semisort=  0.002ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.001ms)
[pe] round= 20 work=        1 frontier=        2 next=        1 consolidate=  0.001ms frontier=  0.000ms semisort=  0.001ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.000ms)
[pe] round= 21 work=        1 frontier=        4 next=        1 consolidate=  0.002ms frontier=  0.000ms semisort=  0.002ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.001ms)
[pe] round= 22 work=        1 frontier=        2 next=        1 consolidate=  0.002ms frontier=  0.000ms semisort=  0.001ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.000ms)
[pe] round= 23 work=        1 frontier=        4 next=        1 consolidate=  0.002ms frontier=  0.000ms semisort=  0.002ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.000ms)
[pe] round= 24 work=        1 frontier=        2 next=        1 consolidate=  0.002ms frontier=  0.000ms semisort=  0.001ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.000ms)
[pe] round= 25 work=        1 frontier=        4 next=        1 consolidate=  0.001ms frontier=  0.000ms semisort=  0.002ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.000ms)
[pe] round= 26 work=        1 frontier=        2 next=        1 consolidate=  0.001ms frontier=  0.000ms semisort=  0.001ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.000ms)
[pe] round= 27 work=        1 frontier=        4 next=        1 consolidate=  0.001ms frontier=  0.000ms semisort=  0.001ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.000ms)
[pe] round= 28 work=        1 frontier=        2 next=        0 consolidate=  0.001ms frontier=  0.000ms semisort=  0.001ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.000ms)
[pe] round=  0 work= 13507445 frontier=  7639846 next=    15676 consolidate= 77.758ms frontier= 14.741ms semisort= 36.080ms (keyed=15.500ms group_by=  0.680ms per_group= 2.578ms)
[pe] round=  1 work=    15676 frontier=   140514 next=    15213 consolidate=  0.793ms frontier=  0.260ms semisort=  1.994ms (keyed= 0.070ms group_by=  0.996ms per_group= 0.374ms)
[pe] round=  2 work=    15213 frontier=    79174 next=     1028 consolidate=  0.739ms frontier=  0.230ms semisort=  1.598ms (keyed= 0.020ms group_by=  1.073ms per_group= 0.170ms)
[pe] round=  3 work=     1028 frontier=    21790 next=      729 consolidate=  0.284ms frontier=  0.070ms semisort=  0.759ms (keyed= 0.031ms group_by=  0.349ms per_group= 0.200ms)
[pe] round=  4 work=      729 frontier=    11103 next=     1581 consolidate=  0.212ms frontier=  0.053ms semisort=  0.421ms (keyed= 0.021ms group_by=  0.165ms per_group= 0.105ms)
[pe] round=  5 work=     1581 frontier=     8676 next=     1320 consolidate=  0.390ms frontier=  0.076ms semisort=  0.984ms (keyed= 0.020ms group_by=  0.735ms per_group= 0.101ms)
[pe] round=  6 work=     1320 frontier=     2863 next=      110 consolidate=  0.332ms frontier=  0.072ms semisort=  0.380ms (keyed= 0.011ms group_by=  0.244ms per_group= 0.061ms)
[pe] round=  7 work=      110 frontier=      579 next=       71 consolidate=  0.040ms frontier=  0.010ms semisort=  0.116ms (keyed= 0.003ms group_by=  0.038ms per_group= 0.029ms)
[pe] round=  8 work=       71 frontier=     1350 next=       36 consolidate=  0.033ms frontier=  0.008ms semisort=  0.154ms (keyed= 0.005ms group_by=  0.059ms per_group= 0.042ms)
[pe] round=  9 work=       36 frontier=      706 next=       14 consolidate=  0.026ms frontier=  0.005ms semisort=  0.098ms (keyed= 0.003ms group_by=  0.034ms per_group= 0.022ms)
[pe] round= 10 work=       14 frontier=       57 next=       13 consolidate=  0.018ms frontier=  0.003ms semisort=  0.025ms (keyed= 0.001ms group_by=  0.005ms per_group= 0.008ms)
[pe] round= 11 work=       13 frontier=       54 next=       11 consolidate=  0.017ms frontier=  0.002ms semisort=  0.023ms (keyed= 0.000ms group_by=  0.003ms per_group= 0.012ms)
[pe] round= 12 work=       11 frontier=       41 next=       10 consolidate=  0.011ms frontier=  0.002ms semisort=  0.011ms (keyed= 0.000ms group_by=  0.002ms per_group= 0.004ms)
[pe] round= 13 work=       10 frontier=       39 next=        9 consolidate=  0.012ms frontier=  0.002ms semisort=  0.014ms (keyed= 0.000ms group_by=  0.002ms per_group= 0.007ms)
[pe] round= 14 work=        9 frontier=       26 next=        6 consolidate=  0.018ms frontier=  0.002ms semisort=  0.009ms (keyed= 0.000ms group_by=  0.002ms per_group= 0.003ms)
[pe] round= 15 work=        6 frontier=       17 next=        3 consolidate=  0.012ms frontier=  0.002ms semisort=  0.006ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.002ms)
[pe] round= 16 work=        3 frontier=        8 next=        2 consolidate=  0.005ms frontier=  0.001ms semisort=  0.004ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.001ms)
[pe] round= 17 work=        2 frontier=        6 next=        1 consolidate=  0.003ms frontier=  0.001ms semisort=  0.003ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.001ms)
[pe] round= 18 work=        1 frontier=        2 next=        1 consolidate=  0.002ms frontier=  0.001ms semisort=  0.002ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.001ms)
[pe] round= 19 work=        1 frontier=        4 next=        1 consolidate=  0.002ms frontier=  0.001ms semisort=  0.002ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.001ms)
[pe] round= 20 work=        1 frontier=        2 next=        1 consolidate=  0.001ms frontier=  0.000ms semisort=  0.001ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.000ms)
[pe] round= 21 work=        1 frontier=        4 next=        1 consolidate=  0.002ms frontier=  0.000ms semisort=  0.002ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.001ms)
[pe] round= 22 work=        1 frontier=        2 next=        1 consolidate=  0.002ms frontier=  0.000ms semisort=  0.001ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.000ms)
[pe] round= 23 work=        1 frontier=        4 next=        1 consolidate=  0.002ms frontier=  0.000ms semisort=  0.002ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.000ms)
[pe] round= 24 work=        1 frontier=        2 next=        1 consolidate=  0.002ms frontier=  0.000ms semisort=  0.001ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.000ms)
[pe] round= 25 work=        1 frontier=        4 next=        1 consolidate=  0.002ms frontier=  0.000ms semisort=  0.002ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.000ms)
[pe] round= 26 work=        1 frontier=        2 next=        1 consolidate=  0.001ms frontier=  0.000ms semisort=  0.002ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.001ms)
[pe] round= 27 work=        1 frontier=        4 next=        1 consolidate=  0.002ms frontier=  0.000ms semisort=  0.002ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.000ms)
[pe] round= 28 work=        1 frontier=        2 next=        0 consolidate=  0.001ms frontier=  0.000ms semisort=  0.001ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.000ms)
[pe] round=  0 work= 13507445 frontier=  7639846 next=    15676 consolidate= 81.588ms frontier= 12.062ms semisort= 34.300ms (keyed=13.674ms group_by=  0.673ms per_group= 2.714ms)
[pe] round=  1 work=    15676 frontier=   140514 next=    15213 consolidate=  0.810ms frontier=  0.256ms semisort=  2.109ms (keyed= 0.070ms group_by=  1.095ms per_group= 0.405ms)
[pe] round=  2 work=    15213 frontier=    79174 next=     1028 consolidate=  0.726ms frontier=  0.221ms semisort=  1.654ms (keyed= 0.027ms group_by=  1.076ms per_group= 0.190ms)
[pe] round=  3 work=     1028 frontier=    21790 next=      729 consolidate=  0.288ms frontier=  0.070ms semisort=  0.627ms (keyed= 0.021ms group_by=  0.228ms per_group= 0.199ms)
[pe] round=  4 work=      729 frontier=    11103 next=     1581 consolidate=  0.209ms frontier=  0.075ms semisort=  0.455ms (keyed= 0.017ms group_by=  0.178ms per_group= 0.123ms)
[pe] round=  5 work=     1581 frontier=     8676 next=     1320 consolidate=  0.438ms frontier=  0.072ms semisort=  0.989ms (keyed= 0.019ms group_by=  0.718ms per_group= 0.095ms)
[pe] round=  6 work=     1320 frontier=     2863 next=      110 consolidate=  0.353ms frontier=  0.066ms semisort=  0.312ms (keyed= 0.013ms group_by=  0.162ms per_group= 0.064ms)
[pe] round=  7 work=      110 frontier=      579 next=       71 consolidate=  0.047ms frontier=  0.010ms semisort=  0.119ms (keyed= 0.002ms group_by=  0.032ms per_group= 0.035ms)
[pe] round=  8 work=       71 frontier=     1350 next=       36 consolidate=  0.033ms frontier=  0.008ms semisort=  0.159ms (keyed= 0.005ms group_by=  0.067ms per_group= 0.043ms)
[pe] round=  9 work=       36 frontier=      706 next=       14 consolidate=  0.032ms frontier=  0.005ms semisort=  0.100ms (keyed= 0.002ms group_by=  0.033ms per_group= 0.021ms)
[pe] round= 10 work=       14 frontier=       57 next=       13 consolidate=  0.016ms frontier=  0.003ms semisort=  0.027ms (keyed= 0.001ms group_by=  0.004ms per_group= 0.008ms)
[pe] round= 11 work=       13 frontier=       54 next=       11 consolidate=  0.016ms frontier=  0.003ms semisort=  0.017ms (keyed= 0.000ms group_by=  0.003ms per_group= 0.006ms)
[pe] round= 12 work=       11 frontier=       41 next=       10 consolidate=  0.013ms frontier=  0.002ms semisort=  0.010ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.004ms)
[pe] round= 13 work=       10 frontier=       39 next=        9 consolidate=  0.011ms frontier=  0.002ms semisort=  0.009ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.003ms)
[pe] round= 14 work=        9 frontier=       26 next=        6 consolidate=  0.010ms frontier=  0.002ms semisort=  0.008ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.003ms)
[pe] round= 15 work=        6 frontier=       17 next=        3 consolidate=  0.013ms frontier=  0.002ms semisort=  0.006ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.002ms)
[pe] round= 16 work=        3 frontier=        8 next=        2 consolidate=  0.008ms frontier=  0.001ms semisort=  0.004ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.001ms)
[pe] round= 17 work=        2 frontier=        6 next=        1 consolidate=  0.003ms frontier=  0.001ms semisort=  0.003ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.001ms)
[pe] round= 18 work=        1 frontier=        2 next=        1 consolidate=  0.002ms frontier=  0.001ms semisort=  0.007ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.001ms)
[pe] round= 19 work=        1 frontier=        4 next=        1 consolidate=  0.002ms frontier=  0.000ms semisort=  0.002ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.001ms)
[pe] round= 20 work=        1 frontier=        2 next=        1 consolidate=  0.002ms frontier=  0.000ms semisort=  0.001ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.000ms)
[pe] round= 21 work=        1 frontier=        4 next=        1 consolidate=  0.002ms frontier=  0.000ms semisort=  0.002ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.001ms)
[pe] round= 22 work=        1 frontier=        2 next=        1 consolidate=  0.002ms frontier=  0.000ms semisort=  0.001ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.000ms)
[pe] round= 23 work=        1 frontier=        4 next=        1 consolidate=  0.002ms frontier=  0.000ms semisort=  0.002ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.001ms)
[pe] round= 24 work=        1 frontier=        2 next=        1 consolidate=  0.002ms frontier=  0.000ms semisort=  0.001ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.000ms)
[pe] round= 25 work=        1 frontier=        4 next=        1 consolidate=  0.002ms frontier=  0.000ms semisort=  0.002ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.000ms)
[pe] round= 26 work=        1 frontier=        2 next=        1 consolidate=  0.001ms frontier=  0.000ms semisort=  0.001ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.000ms)
[pe] round= 27 work=        1 frontier=        4 next=        1 consolidate=  0.001ms frontier=  0.000ms semisort=  0.001ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.000ms)
[pe] round= 28 work=        1 frontier=        2 next=        0 consolidate=  0.001ms frontier=  0.000ms semisort=  0.001ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.000ms)
[pe] round=  0 work= 13507445 frontier=  7639846 next=    15676 consolidate= 80.668ms frontier= 12.594ms semisort= 35.666ms (keyed=15.309ms group_by=  0.684ms per_group= 2.636ms)
[pe] round=  1 work=    15676 frontier=   140514 next=    15213 consolidate=  0.801ms frontier=  0.265ms semisort=  2.237ms (keyed= 0.071ms group_by=  1.251ms per_group= 0.350ms)
[pe] round=  2 work=    15213 frontier=    79174 next=     1028 consolidate=  0.750ms frontier=  0.190ms semisort=  1.643ms (keyed= 0.023ms group_by=  1.098ms per_group= 0.177ms)
[pe] round=  3 work=     1028 frontier=    21790 next=      729 consolidate=  0.269ms frontier=  0.068ms semisort=  0.760ms (keyed= 0.030ms group_by=  0.370ms per_group= 0.191ms)
[pe] round=  4 work=      729 frontier=    11103 next=     1581 consolidate=  0.222ms frontier=  0.056ms semisort=  0.454ms (keyed= 0.020ms group_by=  0.153ms per_group= 0.150ms)
[pe] round=  5 work=     1581 frontier=     8676 next=     1320 consolidate=  0.404ms frontier=  0.074ms semisort=  1.123ms (keyed= 0.022ms group_by=  0.839ms per_group= 0.108ms)
[pe] round=  6 work=     1320 frontier=     2863 next=      110 consolidate=  0.365ms frontier=  0.063ms semisort=  0.412ms (keyed= 0.018ms group_by=  0.279ms per_group= 0.047ms)
[pe] round=  7 work=      110 frontier=      579 next=       71 consolidate=  0.039ms frontier=  0.009ms semisort=  0.111ms (keyed= 0.003ms group_by=  0.039ms per_group= 0.030ms)
[pe] round=  8 work=       71 frontier=     1350 next=       36 consolidate=  0.035ms frontier=  0.008ms semisort=  0.200ms (keyed= 0.006ms group_by=  0.118ms per_group= 0.035ms)
[pe] round=  9 work=       36 frontier=      706 next=       14 consolidate=  0.025ms frontier=  0.005ms semisort=  0.146ms (keyed= 0.002ms group_by=  0.080ms per_group= 0.021ms)
[pe] round= 10 work=       14 frontier=       57 next=       13 consolidate=  0.015ms frontier=  0.002ms semisort=  0.022ms (keyed= 0.001ms group_by=  0.004ms per_group= 0.008ms)
[pe] round= 11 work=       13 frontier=       54 next=       11 consolidate=  0.013ms frontier=  0.002ms semisort=  0.020ms (keyed= 0.000ms group_by=  0.003ms per_group= 0.009ms)
[pe] round= 12 work=       11 frontier=       41 next=       10 consolidate=  0.019ms frontier=  0.002ms semisort=  0.014ms (keyed= 0.000ms group_by=  0.002ms per_group= 0.006ms)
[pe] round= 13 work=       10 frontier=       39 next=        9 consolidate=  0.013ms frontier=  0.002ms semisort=  0.012ms (keyed= 0.000ms group_by=  0.002ms per_group= 0.005ms)
[pe] round= 14 work=        9 frontier=       26 next=        6 consolidate=  0.016ms frontier=  0.002ms semisort=  0.008ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.003ms)
[pe] round= 15 work=        6 frontier=       17 next=        3 consolidate=  0.013ms frontier=  0.002ms semisort=  0.006ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.002ms)
[pe] round= 16 work=        3 frontier=        8 next=        2 consolidate=  0.004ms frontier=  0.001ms semisort=  0.004ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.001ms)
[pe] round= 17 work=        2 frontier=        6 next=        1 consolidate=  0.003ms frontier=  0.001ms semisort=  0.003ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.001ms)
[pe] round= 18 work=        1 frontier=        2 next=        1 consolidate=  0.002ms frontier=  0.001ms semisort=  0.002ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.001ms)
[pe] round= 19 work=        1 frontier=        4 next=        1 consolidate=  0.002ms frontier=  0.000ms semisort=  0.002ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.001ms)
[pe] round= 20 work=        1 frontier=        2 next=        1 consolidate=  0.001ms frontier=  0.000ms semisort=  0.001ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.000ms)
[pe] round= 21 work=        1 frontier=        4 next=        1 consolidate=  0.002ms frontier=  0.000ms semisort=  0.002ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.001ms)
[pe] round= 22 work=        1 frontier=        2 next=        1 consolidate=  0.002ms frontier=  0.000ms semisort=  0.001ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.000ms)
[pe] round= 23 work=        1 frontier=        4 next=        1 consolidate=  0.002ms frontier=  0.000ms semisort=  0.002ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.000ms)
[pe] round= 24 work=        1 frontier=        2 next=        1 consolidate=  0.002ms frontier=  0.000ms semisort=  0.001ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.001ms)
[pe] round= 25 work=        1 frontier=        4 next=        1 consolidate=  0.001ms frontier=  0.000ms semisort=  0.002ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.000ms)
[pe] round= 26 work=        1 frontier=        2 next=        1 consolidate=  0.001ms frontier=  0.000ms semisort=  0.001ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.000ms)
[pe] round= 27 work=        1 frontier=        4 next=        1 consolidate=  0.002ms frontier=  0.000ms semisort=  0.002ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.000ms)
[pe] round= 28 work=        1 frontier=        2 next=        0 consolidate=  0.001ms frontier=  0.000ms semisort=  0.001ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.000ms)
[pe] round=  0 work= 13507445 frontier=  7639846 next=    15676 consolidate= 83.305ms frontier= 15.839ms semisort= 27.544ms (keyed= 7.069ms group_by=  0.704ms per_group= 2.630ms)
[pe] round=  1 work=    15676 frontier=   140514 next=    15213 consolidate=  0.829ms frontier=  0.240ms semisort=  2.106ms (keyed= 0.073ms group_by=  1.068ms per_group= 0.403ms)
[pe] round=  2 work=    15213 frontier=    79174 next=     1028 consolidate=  0.721ms frontier=  0.227ms semisort=  1.635ms (keyed= 0.024ms group_by=  1.064ms per_group= 0.197ms)
[pe] round=  3 work=     1028 frontier=    21790 next=      729 consolidate=  0.315ms frontier=  0.072ms semisort=  0.626ms (keyed= 0.030ms group_by=  0.250ms per_group= 0.192ms)
[pe] round=  4 work=      729 frontier=    11103 next=     1581 consolidate=  0.223ms frontier=  0.049ms semisort=  0.463ms (keyed= 0.017ms group_by=  0.177ms per_group= 0.134ms)
