[gates_bench] ./miter-cc-benchmarks/hwmcc12_with_not/6s163-ands-opt.gates ...
  literals=5133510  NOT=2412539  gates=6042399  total_classes=13588448  read=0.078s parse=0.115s build=0.321s
[pe] round=  0 work= 13507445 frontier=  7639846 next=    15676 consolidate= 92.105ms frontier= 16.088ms semisort= 33.783ms (keyed=18.677ms group_by=  1.010ms per_group= 2.327ms)
[pe] round= 15 work=        6 frontier=       17 next=        3 consolidate=  0.007ms frontier=  0.001ms semisort=  0.005ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.002ms)
[pe] round= 16 work=        3 frontier=        8 next=        2 consolidate=  0.009ms frontier=  0.001ms semisort=  0.003ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.001ms)
[pe] round= 17 work=        2 frontier=        6 next=        1 consolidate=  0.002ms frontier=  0.001ms semisort=  0.002ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.001ms)
[pe] round= 18 work=        1 frontier=        2 next=        1 consolidate=  0.002ms frontier=  0.001ms semisort=  0.002ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.001ms)
[pe] round= 19 work=        1 frontier=        4 next=        1 consolidate=  0.002ms frontier=  0.000ms semisort=  0.002ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.001ms)
[pe] round= 20 work=        1 frontier=        2 next=        1 consolidate=  0.002ms frontier=  0.000ms semisort=  0.001ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.000ms)
[pe] round= 21 work=        1 frontier=        4 next=        1 consolidate=  0.002ms frontier=  0.000ms semisort=  0.002ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.001ms)
[pe] round= 22 work=        1 frontier=        2 next=        1 consolidate=  0.002ms frontier=  0.000ms semisort=  0.001ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.000ms)
[pe] round= 23 work=        1 frontier=        4 next=        1 consolidate=  0.002ms frontier=  0.000ms semisort=  0.002ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.000ms)
[pe] round= 24 work=        1 frontier=        2 next=        1 consolidate=  0.002ms frontier=  0.000ms semisort=  0.001ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.000ms)
[pe] round= 25 work=        1 frontier=        4 next=        1 consolidate=  0.002ms frontier=  0.000ms semisort=  0.002ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.000ms)
[pe] round= 26 work=        1 frontier=        2 next=        1 consolidate=  0.002ms frontier=  0.000ms semisort=  0.001ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.000ms)
[pe] round= 27 work=        1 frontier=        4 next=        1 consolidate=  0.002ms frontier=  0.000ms semisort=  0.002ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.001ms)
[pe] round= 28 work=        1 frontier=        2 next=        0 consolidate=  0.002ms frontier=  0.000ms semisort=  0.002ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.001ms)
[pe] round=  0 work= 13507445 frontier=  7639846 next=    15676 consolidate= 55.673ms frontier= 13.390ms semisort= 33.354ms (keyed=18.633ms group_by=  0.588ms per_group= 2.252ms)
[pe] round=  1 work=    15676 frontier=   140514 next=    15213 consolidate=  0.843ms frontier=  0.336ms semisort=  2.242ms (keyed= 0.102ms group_by=  1.147ms per_group= 0.411ms)
[pe] round=  2 work=    15213 frontier=    79174 next=     1028 consolidate=  0.669ms frontier=  0.282ms semisort=  1.810ms (keyed= 0.037ms group_by=  1.120ms per_group= 0.237ms)
[pe] round=  3 work=     1028 frontier=    21790 next=      729 consolidate=  0.508ms frontier=  0.059ms semisort=  0.841ms (keyed= 0.032ms group_by=  0.393ms per_group= 0.238ms)
[pe] round=  4 work=      729 frontier=    11103 next=     1581 consolidate=  0.237ms frontier=  0.062ms semisort=  0.582ms (keyed= 0.021ms group_by=  0.234ms per_group= 0.147ms)
[pe] round=  5 work=     1581 frontier=     8676 next=     1320 consolidate=  0.426ms frontier=  0.078ms semisort=  0.960ms (keyed= 0.032ms group_by=  0.638ms per_group= 0.131ms)
[pe] round=  6 work=     1320 frontier=     2863 next=      110 consolidate=  0.390ms frontier=  0.097ms semisort=  0.494ms (keyed= 0.019ms group_by=  0.296ms per_group= 0.088ms)
[pe] round=  7 work=      110 frontier=      579 next=       71 consolidate=  0.058ms frontier=  0.008ms semisort=  0.188ms (keyed= 0.003ms group_by=  0.039ms per_group= 0.066ms)
[pe] round=  8 work=       71 frontier=     1350 next=       36 consolidate=  0.052ms frontier=  0.010ms semisort=  0.211ms (keyed= 0.005ms group_by=  0.058ms per_group= 0.072ms)
[pe] round=  9 work=       36 frontier=      706 next=       14 consolidate=  0.040ms frontier=  0.004ms semisort=  0.133ms (keyed= 0.003ms group_by=  0.038ms per_group= 0.034ms)
[pe] round= 10 work=       14 frontier=       57 next=       13 consolidate=  0.027ms frontier=  0.003ms semisort=  0.025ms (keyed= 0.001ms group_by=  0.005ms per_group= 0.008ms)
[pe] round= 11 work=       13 frontier=       54 next=       11 consolidate=  0.016ms frontier=  0.002ms semisort=  0.028ms (keyed= 0.000ms group_by=  0.002ms per_group= 0.016ms)
[pe] round= 12 work=       11 frontier=       41 next=       10 consolidate=  0.017ms frontier=  0.002ms semisort=  0.011ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.004ms)
[pe] round= 13 work=       10 frontier=       39 next=        9 consolidate=  0.013ms frontier=  0.002ms semisort=  0.012ms (keyed= 0.000ms group_by=  0.002ms per_group= 0.005ms)
[pe] round= 14 work=        9 frontier=       26 next=        6 consolidate=  0.032ms frontier=  0.002ms semisort=  0.009ms (keyed= 0.000ms group_by=  0.002ms per_group= 0.004ms)
[pe] round= 15 work=        6 frontier=       17 next=        3 consolidate=  0.011ms frontier=  0.002ms semisort=  0.006ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.002ms)
[pe] round= 16 work=        3 frontier=        8 next=        2 consolidate=  0.007ms frontier=  0.002ms semisort=  0.004ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.002ms)
[pe] round= 17 work=        2 frontier=        6 next=        1 consolidate=  0.003ms frontier=  0.001ms semisort=  0.007ms (keyed= 0.004ms group_by=  0.001ms per_group= 0.001ms)
[pe] round= 18 work=        1 frontier=        2 next=        1 consolidate=  0.002ms frontier=  0.001ms semisort=  0.002ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.001ms)
[pe] round= 19 work=        1 frontier=        4 next=        1 consolidate=  0.002ms frontier=  0.000ms semisort=  0.002ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.001ms)
[pe] round= 20 work=        1 frontier=        2 next=        1 consolidate=  0.001ms frontier=  0.000ms semisort=  0.002ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.000ms)
[pe] round= 21 work=        1 frontier=        4 next=        1 consolidate=  0.002ms frontier=  0.000ms semisort=  0.002ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.001ms)
[pe] round= 22 work=        1 frontier=        2 next=        1 consolidate=  0.001ms frontier=  0.000ms semisort=  0.001ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.000ms)
[pe] round= 23 work=        1 frontier=        4 next=        1 consolidate=  0.001ms frontier=  0.000ms semisort=  0.001ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.000ms)
[pe] round= 24 work=        1 frontier=        2 next=        1 consolidate=  0.001ms frontier=  0.000ms semisort=  0.001ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.000ms)
[pe] round= 25 work=        1 frontier=        4 next=        1 consolidate=  0.001ms frontier=  0.000ms semisort=  0.001ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.000ms)
[pe] round= 26 work=        1 frontier=        2 next=        1 consolidate=  0.001ms frontier=  0.000ms semisort=  0.001ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.000ms)
[pe] round= 27 work=        1 frontier=        4 next=        1 consolidate=  0.002ms frontier=  0.000ms semisort=  0.002ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.001ms)
[pe] round= 28 work=        1 frontier=        2 next=        0 consolidate=  0.002ms frontier=  0.000ms semisort=  0.002ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.001ms)
[pe] round=  0 work= 13507445 frontier=  7639846 next=    15676 consolidate= 54.282ms frontier= 13.811ms semisort= 27.344ms (keyed=12.090ms group_by=  0.583ms per_group= 2.457ms)
[pe] round=  1 work=    15676 frontier=   140514 next=    15213 consolidate=  0.852ms frontier=  0.293ms semisort=  2.312ms (keyed= 0.101ms group_by=  1.182ms per_group= 0.421ms)
[pe] round=  2 work=    15213 frontier=    79174 next=     1028 consolidate=  0.727ms frontier=  0.270ms semisort=  1.614ms (keyed= 0.034ms group_by=  0.949ms per_group= 0.231ms)
[pe] round=  3 work=     1028 frontier=    21790 next=      729 consolidate=  0.530ms frontier=  0.067ms semisort=  0.916ms (keyed= 0.034ms group_by=  0.391ms per_group= 0.297ms)
[pe] round=  4 work=      729 frontier=    11103 next=     1581 consolidate=  0.273ms frontier=  0.070ms semisort=  0.566ms (keyed= 0.036ms group_by=  0.210ms per_group= 0.144ms)
[pe] round=  5 work=     1581 frontier=     8676 next=     1320 consolidate=  0.435ms frontier=  0.093ms semisort=  0.916ms (keyed= 0.023ms group_by=  0.621ms per_group= 0.120ms)
[pe] round=  6 work=     1320 frontier=     2863 next=      110 consolidate=  0.374ms frontier=  0.079ms semisort=  0.518ms (keyed= 0.016ms group_by=  0.321ms per_group= 0.086ms)
[pe] round=  7 work=      110 frontier=      579 next=       71 consolidate=  0.069ms frontier=  0.011ms semisort=  0.148ms (keyed= 0.003ms group_by=  0.042ms per_group= 0.052ms)
[pe] round=  8 work=       71 frontier=     1350 next=       36 consolidate=  0.062ms frontier=  0.008ms semisort=  0.179ms (keyed= 0.005ms group_by=  0.069ms per_group= 0.049ms)
[pe] round=  9 work=       36 frontier=      706 next=       14 consolidate=  0.038ms frontier=  0.006ms semisort=  0.123ms (keyed= 0.003ms group_by=  0.035ms per_group= 0.033ms)
[pe] round= 10 work=       14 frontier=       57 next=       13 consolidate=  0.028ms frontier=  0.003ms semisort=  0.026ms (keyed= 0.001ms group_by=  0.004ms per_group= 0.008ms)
[pe] round= 11 work=       13 frontier=       54 next=       11 consolidate=  0.025ms frontier=  0.002ms semisort=  0.021ms (keyed= 0.000ms group_by=  0.002ms per_group= 0.011ms)
[pe] round= 12 work=       11 frontier=       41 next=       10 consolidate=  0.020ms frontier=  0.003ms semisort=  0.024ms (keyed= 0.000ms group_by=  0.003ms per_group= 0.014ms)
[pe] round= 13 work=       10 frontier=       39 next=        9 consolidate=  0.023ms frontier=  0.003ms semisort=  0.019ms (keyed= 0.000ms group_by=  0.007ms per_group= 0.005ms)
[pe] round= 14 work=        9 frontier=       26 next=        6 consolidate=  0.022ms frontier=  0.002ms semisort=  0.009ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.003ms)
[pe] round= 15 work=        6 frontier=       17 next=        3 consolidate=  0.021ms frontier=  0.002ms semisort=  0.006ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.002ms)
[pe] round= 16 work=        3 frontier=        8 next=        2 consolidate=  0.008ms frontier=  0.001ms semisort=  0.004ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.002ms)
[pe] round= 17 work=        2 frontier=        6 next=        1 consolidate=  0.003ms frontier=  0.001ms semisort=  0.003ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.001ms)
[pe] round= 18 work=        1 frontier=        2 next=        1 consolidate=  0.001ms frontier=  0.001ms semisort=  0.002ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.001ms)
[pe] round= 19 work=        1 frontier=        4 next=        1 consolidate=  0.001ms frontier=  0.000ms semisort=  0.002ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.000ms)
[pe] round= 20 work=        1 frontier=        2 next=        1 consolidate=  0.001ms frontier=  0.000ms semisort=  0.001ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.000ms)
[pe] round= 21 work=        1 frontier=        4 next=        1 consolidate=  0.001ms frontier=  0.000ms semisort=  0.002ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.001ms)
[pe] round= 22 work=        1 frontier=        2 next=        1 consolidate=  0.001ms frontier=  0.000ms semisort=  0.001ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.000ms)
[pe] round= 23 work=        1 frontier=        4 next=        1 consolidate=  0.001ms frontier=  0.000ms semisort=  0.001ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.000ms)
[pe] round= 24 work=        1 frontier=        2 next=        1 consolidate=  0.002ms frontier=  0.000ms semisort=  0.001ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.000ms)
[pe] round= 25 work=        1 frontier=        4 next=        1 consolidate=  0.002ms frontier=  0.000ms semisort=  0.002ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.000ms)
[pe] round= 26 work=        1 frontier=        2 next=        1 consolidate=  0.002ms frontier=  0.000ms semisort=  0.001ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.000ms)
[pe] round= 27 work=        1 frontier=        4 next=        1 consolidate=  0.002ms frontier=  0.000ms semisort=  0.002ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.001ms)
[pe] round= 28 work=        1 frontier=        2 next=        0 consolidate=  0.002ms frontier=  0.000ms semisort=  0.002ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.001ms)
[pe] round=  0 work= 13507445 frontier=  7639846 next=    15676 consolidate= 54.167ms frontier= 10.254ms semisort= 37.153ms (keyed=22.320ms group_by=  0.614ms per_group= 2.239ms)
[pe] round=  1 work=    15676 frontier=   140514 next=    15213 consolidate=  0.825ms frontier=  0.295ms semisort=  2.298ms (keyed= 0.098ms group_by=  1.210ms per_group= 0.417ms)
[pe] round=  2 work=    15213 frontier=    79174 next=     1028 consolidate=  0.721ms frontier=  0.292ms semisort=  1.761ms (keyed= 0.049ms group_by=  1.008ms per_group= 0.264ms)
[pe] round=  3 work=     1028 frontier=    21790 next=      729 consolidate=  0.343ms frontier=  0.072ms semisort=  0.859ms (keyed= 0.031ms group_by=  0.368ms per_group= 0.278ms)
[pe] round=  4 work=      729 frontier=    11103 next=     1581 consolidate=  0.283ms frontier=  0.063ms semisort=  0.529ms (keyed= 0.018ms group_by=  0.218ms per_group= 0.121ms)
[pe] round=  5 work=     1581 frontier=     8676 next=     1320 consolidate=  0.426ms frontier=  0.083ms semisort=  0.928ms (keyed= 0.024ms group_by=  0.599ms per_group= 0.149ms)
[pe] round=  6 work=     1320 frontier=     2863 next=      110 consolidate=  0.405ms frontier=  0.085ms semisort=  0.519ms (keyed= 0.025ms group_by=  0.310ms per_group= 0.096ms)
[pe] round=  7 work=      110 frontier=      579 next=       71 consolidate=  0.062ms frontier=  0.010ms semisort=  0.158ms (keyed= 0.003ms group_by=  0.041ms per_group= 0.043ms)
[pe] round=  8 work=       71 frontier=     1350 next=       36 consolidate=  0.046ms frontier=  0.008ms semisort=  0.245ms (keyed= 0.005ms group_by=  0.104ms per_group= 0.075ms)
[pe] round=  9 work=       36 frontier=      706 next=       14 consolidate=  0.031ms frontier=  0.005ms semisort=  0.172ms (keyed= 0.002ms group_by=  0.090ms per_group= 0.028ms)
[pe] round= 10 work=       14 frontier=       57 next=       13 consolidate=  0.026ms frontier=  0.003ms semisort=  0.037ms (keyed= 0.001ms group_by=  0.005ms per_group= 0.012ms)
[pe] round= 11 work=       13 frontier=       54 next=       11 consolidate=  0.031ms frontier=  0.002ms semisort=  0.015ms (keyed= 0.000ms group_by=  0.003ms per_group= 0.005ms)
[pe] round= 12 work=       11 frontier=       41 next=       10 consolidate=  0.022ms frontier=  0.002ms semisort=  0.015ms (keyed= 0.000ms group_by=  0.003ms per_group= 0.006ms)
[pe] round= 13 work=       10 frontier=       39 next=        9 consolidate=  0.022ms frontier=  0.002ms semisort=  0.013ms (keyed= 0.000ms group_by=  0.002ms per_group= 0.005ms)
[pe] round= 14 work=        9 frontier=       26 next=        6 consolidate=  0.021ms frontier=  0.003ms semisort=  0.009ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.004ms)
[pe] round= 15 work=        6 frontier=       17 next=        3 consolidate=  0.011ms frontier=  0.002ms semisort=  0.006ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.002ms)
[pe] round= 16 work=        3 frontier=        8 next=        2 consolidate=  0.007ms frontier=  0.001ms semisort=  0.004ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.001ms)
[pe] round= 17 work=        2 frontier=        6 next=        1 consolidate=  0.004ms frontier=  0.001ms semisort=  0.003ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.001ms)
[pe] round= 18 work=        1 frontier=        2 next=        1 consolidate=  0.002ms frontier=  0.001ms semisort=  0.002ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.001ms)
[pe] round= 19 work=        1 frontier=        4 next=        1 consolidate=  0.001ms frontier=  0.000ms semisort=  0.002ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.000ms)
[pe] round= 20 work=        1 frontier=        2 next=        1 consolidate=  0.001ms frontier=  0.000ms semisort=  0.001ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.000ms)
[pe] round= 21 work=        1 frontier=        4 next=        1 consolidate=  0.001ms frontier=  0.000ms semisort=  0.002ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.000ms)
[pe] round= 22 work=        1 frontier=        2 next=        1 consolidate=  0.001ms frontier=  0.000ms semisort=  0.001ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.000ms)
[pe] round= 23 work=        1 frontier=        4 next=        1 consolidate=  0.001ms frontier=  0.000ms semisort=  0.001ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.000ms)
[pe] round= 24 work=        1 frontier=        2 next=        1 consolidate=  0.002ms frontier=  0.000ms semisort=  0.001ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.000ms)
[pe] round= 25 work=        1 frontier=        4 next=        1 consolidate=  0.001ms frontier=  0.000ms semisort=  0.002ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.000ms)
[pe] round= 26 work=        1 frontier=        2 next=        1 consolidate=  0.002ms frontier=  0.000ms semisort=  0.001ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.000ms)
[pe] round= 27 work=        1 frontier=        4 next=        1 consolidate=  0.002ms frontier=  0.000ms semisort=  0.002ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.001ms)
[pe] round= 28 work=        1 frontier=        2 next=        0 consolidate=  0.002ms frontier=  0.000ms semisort=  0.002ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.001ms)
[pe] round=  0 work= 13507445 frontier=  7639846 next=    15676 consolidate= 57.691ms frontier= 11.294ms semisort= 26.143ms (keyed=11.188ms group_by=  0.562ms per_group= 2.407ms)
[pe] round=  1 work=    15676 frontier=   140514 next=    15213 consolidate=  0.840ms frontier=  0.315ms semisort=  2.304ms (keyed= 0.106ms group_by=  1.192ms per_group= 0.423ms)
[pe] round=  2 work=    15213 frontier=    79174 next=     1028 consolidate=  0.736ms frontier=  0.255ms semisort=  1.854ms (keyed= 0.033ms group_by=  1.124ms per_group= 0.242ms)
[pe] round=  3 work=     1028 frontier=    21790 next=      729 consolidate=  0.351ms frontier=  0.083ms semisort=  0.813ms (keyed= 0.024ms group_by=  0.377ms per_group= 0.228ms)
[pe] round=  4 work=      729 frontier=    11103 next=     1581 consolidate=  0.275ms frontier=  0.059ms semisort=  0.552ms (keyed= 0.021ms group_by=  0.227ms per_group= 0.161ms)
[pe] round=  5 work=     1581 frontier=     8676 next=     1320 consolidate=  0.442ms frontier=  0.092ms semisort=  1.176ms (keyed= 0.030ms group_by=  0.875ms per_group= 0.133ms)
[pe] round=  6 work=     1320 frontier=     2863 next=      110 consolidate=  0.414ms frontier=  0.086ms semisort=  0.571ms (keyed= 0.014ms group_by=  0.393ms per_group= 0.081ms)
[pe] round=  7 work=      110 frontier=      579 next=       71 consolidate=  0.069ms frontier=  0.010ms semisort=  0.173ms (keyed= 0.003ms group_by=  0.043ms per_group= 0.067ms)
[pe] round=  8 work=       71 frontier=     1350 next=       36 consolidate=  0.048ms frontier=  0.008ms semisort=  0.205ms (keyed= 0.005ms group_by=  0.097ms per_group= 0.038ms)
[pe] round=  9 work=       36 frontier=      706 next=       14 consolidate=  0.047ms frontier=  0.005ms semisort=  0.184ms (keyed= 0.002ms group_by=  0.089ms per_group= 0.034ms)
[pe] round= 10 work=       14 frontier=       57 next=       13 consolidate=  0.029ms frontier=  0.003ms semisort=  0.029ms (keyed= 0.001ms group_by=  0.006ms per_group= 0.008ms)
[pe] round= 11 work=       13 frontier=       54 next=       11 consolidate=  0.021ms frontier=  0.003ms semisort=  0.025ms (keyed= 0.000ms group_by=  0.003ms per_group= 0.012ms)
[pe] round= 12 work=       11 frontier=       41 next=       10 consolidate=  0.017ms frontier=  0.002ms semisort=  0.018ms (keyed= 0.000ms group_by=  0.003ms per_group= 0.007ms)
[pe] round= 13 work=       10 frontier=       39 next=        9 consolidate=  0.033ms frontier=  0.003ms semisort=  0.024ms (keyed= 0.000ms group_by=  0.002ms per_group= 0.016ms)
[pe] round= 14 work=        9 frontier=       26 next=        6 consolidate=  0.031ms frontier=  0.002ms semisort=  0.010ms (keyed= 0.000ms group_by=  0.002ms per_group= 0.004ms)
[pe] round= 15 work=        6 frontier=       17 next=        3 consolidate=  0.008ms frontier=  0.001ms semisort=  0.007ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.002ms)
[pe] round= 16 work=        3 frontier=        8 next=        2 consolidate=  0.018ms frontier=  0.001ms semisort=  0.004ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.002ms)
[pe] round= 17 work=        2 frontier=        6 next=        1 consolidate=  0.003ms frontier=  0.001ms semisort=  0.003ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.001ms)
[pe] round= 18 work=        1 frontier=        2 next=        1 consolidate=  0.002ms frontier=  0.001ms semisort=  0.002ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.001ms)
[pe] round= 19 work=        1 frontier=        4 next=        1 consolidate=  0.002ms frontier=  0.001ms semisort=  0.002ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.001ms)
[pe] round= 20 work=        1 frontier=        2 next=        1 consolidate=  0.002ms frontier=  0.000ms semisort=  0.002ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.000ms)
[pe] round= 21 work=        1 frontier=        4 next=        1 consolidate=  0.002ms frontier=  0.000ms semisort=  0.002ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.000ms)
[pe] round= 22 work=        1 frontier=        2 next=        1 consolidate=  0.001ms frontier=  0.000ms semisort=  0.001ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.000ms)
[pe] round= 23 work=        1 frontier=        4 next=        1 consolidate=  0.002ms frontier=  0.000ms semisort=  0.002ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.000ms)
[pe] round= 24 work=        1 frontier=        2 next=        1 consolidate=  0.001ms frontier=  0.000ms semisort=  0.001ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.000ms)
[pe] round= 25 work=        1 frontier=        4 next=        1 consolidate=  0.001ms frontier=  0.000ms semisort=  0.002ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.000ms)
[pe] round= 26 work=        1 frontier=        2 next=        1 consolidate=  0.002ms frontier=  0.000ms semisort=  0.001ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.000ms)
[pe] round= 27 work=        1 frontier=        4 next=        1 consolidate=  0.002ms frontier=  0.000ms semisort=  0.002ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.001ms)
[pe] round= 28 work=        1 frontier=        2 next=        0 consolidate=  0.002ms frontier=  0.000ms semisort=  0.002ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.001ms)
[pe] round=  0 work= 13507445 frontier=  7639846 next=    15676 consolidate= 55.773ms frontier= 10.462ms semisort= 30.189ms (keyed=15.657ms group_by=  0.584ms per_group= 2.464ms)
[pe] round=  1 work=    15676 frontier=   140514 next=    15213 consolidate=  0.881ms frontier=  0.344ms semisort=  2.400ms (keyed= 0.098ms group_by=  1.210ms per_group= 0.490ms)
[pe] round=  2 work=    15213 frontier=    79174 next=     1028 consolidate=  0.717ms frontier=  0.251ms semisort=  1.889ms (keyed= 0.037ms group_by=  1.170ms per_group= 0.251ms)
[pe] round=  3 work=     1028 frontier=    21790 next=      729 consolidate=  0.346ms frontier=  0.072ms semisort=  0.841ms (keyed= 0.032ms group_by=  0.394ms per_group= 0.254ms)
[pe] round=  4 work=      729 frontier=    11103 next=     1581 consolidate=  0.256ms frontier=  0.060ms semisort=  0.622ms (keyed= 0.018ms group_by=  0.229ms per_group= 0.199ms)
[pe] round=  5 work=     1581 frontier=     8676 next=     1320 consolidate=  0.494ms frontier=  0.087ms semisort=  1.166ms (keyed= 0.029ms group_by=  0.855ms per_group= 0.128ms)
