[gates_bench] ./miter-cc-benchmarks/hwmcc12_with_not/6s114-xits-opt.gates ...
  literals=3211512  NOT=1061874  gates=4390625  total_classes=8664011  read=0.053s parse=0.042s build=0.135s
[pe] round=  0 work=  8509525 frontier=  5063084 next=    59086 consolidate=104.590ms frontier= 17.070ms semisort= 32.877ms (keyed= 6.876ms group_by=  0.884ms per_group= 3.314ms)
[pe] round= 19 work=       86 frontier=      674 next=       34 consolidate=  0.065ms frontier=  0.005ms semisort=  0.077ms (keyed= 0.002ms group_by=  0.033ms per_group= 0.022ms)
[pe] round= 20 work=       34 frontier=      184 next=       31 consolidate=  0.019ms frontier=  0.004ms semisort=  0.034ms (keyed= 0.001ms group_by=  0.006ms per_group= 0.012ms)
[pe] round= 21 work=       31 frontier=      202 next=       27 consolidate=  0.025ms frontier=  0.003ms semisort=  0.040ms (keyed= 0.001ms group_by=  0.007ms per_group= 0.013ms)
[pe] round= 22 work=       27 frontier=      161 next=       25 consolidate=  0.016ms frontier=  0.003ms semisort=  0.033ms (keyed= 0.001ms group_by=  0.008ms per_group= 0.011ms)
[pe] round= 23 work=       25 frontier=      155 next=       25 consolidate=  0.016ms frontier=  0.003ms semisort=  0.033ms (keyed= 0.001ms group_by=  0.006ms per_group= 0.011ms)
[pe] round= 24 work=       25 frontier=      150 next=       25 consolidate=  0.019ms frontier=  0.002ms semisort=  0.032ms (keyed= 0.001ms group_by=  0.005ms per_group= 0.013ms)
[pe] round= 25 work=       25 frontier=      182 next=       25 consolidate=  0.018ms frontier=  0.002ms semisort=  0.031ms (keyed= 0.001ms group_by=  0.006ms per_group= 0.010ms)
[pe] round= 26 work=       25 frontier=      152 next=       23 consolidate=  0.016ms frontier=  0.003ms semisort=  0.032ms (keyed= 0.001ms group_by=  0.005ms per_group= 0.011ms)
[pe] round= 27 work=       23 frontier=      139 next=       21 consolidate=  0.019ms frontier=  0.002ms semisort=  0.031ms (keyed= 0.001ms group_by=  0.005ms per_group= 0.012ms)
[pe] round= 28 work=       21 frontier=      127 next=       21 consolidate=  0.015ms frontier=  0.002ms semisort=  0.028ms (keyed= 0.001ms group_by=  0.004ms per_group= 0.010ms)
[pe] round= 29 work=       21 frontier=      126 next=       16 consolidate=  0.014ms frontier=  0.003ms semisort=  0.027ms (keyed= 0.001ms group_by=  0.004ms per_group= 0.010ms)
[pe] round= 30 work=       16 frontier=       86 next=       14 consolidate=  0.014ms frontier=  0.002ms semisort=  0.019ms (keyed= 0.001ms group_by=  0.003ms per_group= 0.007ms)
[pe] round= 31 work=       14 frontier=       85 next=       14 consolidate=  0.014ms frontier=  0.002ms semisort=  0.023ms (keyed= 0.001ms group_by=  0.004ms per_group= 0.008ms)
[pe] round= 32 work=       14 frontier=       77 next=       14 consolidate=  0.011ms frontier=  0.002ms semisort=  0.022ms (keyed= 0.001ms group_by=  0.003ms per_group= 0.009ms)
[pe] round= 33 work=       14 frontier=      106 next=       12 consolidate=  0.012ms frontier=  0.002ms semisort=  0.022ms (keyed= 0.001ms group_by=  0.003ms per_group= 0.008ms)
[pe] round= 34 work=       12 frontier=       67 next=       10 consolidate=  0.012ms frontier=  0.002ms semisort=  0.015ms (keyed= 0.000ms group_by=  0.002ms per_group= 0.004ms)
[pe] round= 35 work=       10 frontier=       54 next=        6 consolidate=  0.009ms frontier=  0.002ms semisort=  0.014ms (keyed= 0.000ms group_by=  0.002ms per_group= 0.006ms)
[pe] round= 36 work=        6 frontier=       23 next=        4 consolidate=  0.008ms frontier=  0.002ms semisort=  0.007ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.002ms)
[pe] round= 37 work=        4 frontier=       41 next=        4 consolidate=  0.005ms frontier=  0.001ms semisort=  0.010ms (keyed= 0.000ms group_by=  0.002ms per_group= 0.002ms)
[pe] round= 38 work=        4 frontier=       24 next=        5 consolidate=  0.005ms frontier=  0.001ms semisort=  0.007ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.003ms)
[pe] round= 39 work=        5 frontier=       13 next=        3 consolidate=  0.005ms frontier=  0.001ms semisort=  0.005ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.002ms)
[pe] round= 40 work=        3 frontier=        4 next=        2 consolidate=  0.004ms frontier=  0.001ms semisort=  0.003ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.001ms)
[pe] round= 41 work=        2 frontier=       26 next=        2 consolidate=  0.003ms frontier=  0.001ms semisort=  0.006ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.002ms)
[pe] round= 42 work=        2 frontier=        8 next=        2 consolidate=  0.003ms frontier=  0.000ms semisort=  0.003ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.001ms)
[pe] round= 43 work=        2 frontier=        8 next=        2 consolidate=  0.003ms frontier=  0.000ms semisort=  0.004ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.001ms)
[pe] round= 44 work=        2 frontier=        4 next=        2 consolidate=  0.002ms frontier=  0.000ms semisort=  0.003ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.001ms)
[pe] round= 45 work=        2 frontier=       26 next=        2 consolidate=  0.003ms frontier=  0.000ms semisort=  0.006ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.001ms)
[pe] round= 46 work=        2 frontier=        8 next=        2 consolidate=  0.003ms frontier=  0.000ms semisort=  0.003ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.001ms)
[pe] round= 47 work=        2 frontier=        8 next=        2 consolidate=  0.003ms frontier=  0.000ms semisort=  0.003ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.001ms)
[pe] round= 48 work=        2 frontier=        4 next=        2 consolidate=  0.002ms frontier=  0.001ms semisort=  0.003ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.001ms)
[pe] round= 49 work=        2 frontier=       20 next=        2 consolidate=  0.003ms frontier=  0.000ms semisort=  0.007ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.002ms)
[pe] round= 50 work=        2 frontier=        4 next=        2 consolidate=  0.003ms frontier=  0.000ms semisort=  0.002ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.001ms)
[pe] round= 51 work=        2 (tail-skip: all parents empty)
[pe] round=  0 work=  8509525 frontier=  5063084 next=    59086 consolidate=103.498ms frontier= 15.112ms semisort= 33.437ms (keyed= 7.268ms group_by=  0.848ms per_group= 3.333ms)
[pe] round=  1 work=    59086 frontier=   551494 next=    13151 consolidate=  3.506ms frontier=  1.557ms semisort=  4.170ms (keyed= 1.034ms group_by=  0.145ms per_group= 0.585ms)
[pe] round=  2 work=    13151 frontier=   120430 next=    10937 consolidate=  0.737ms frontier=  0.144ms semisort=  2.189ms (keyed= 0.029ms group_by=  1.128ms per_group= 0.384ms)
[pe] round=  3 work=    10937 frontier=    64865 next=     7757 consolidate=  0.746ms frontier=  0.133ms semisort=  1.509ms (keyed= 0.037ms group_by=  0.690ms per_group= 0.352ms)
[pe] round=  4 work=     7757 frontier=    25747 next=     3790 consolidate=  1.349ms frontier=  0.232ms semisort=  0.917ms (keyed= 0.018ms group_by=  0.464ms per_group= 0.167ms)
[pe] round=  5 work=     3790 frontier=    12633 next=     1812 consolidate=  0.752ms frontier=  0.135ms semisort=  0.378ms (keyed= 0.011ms group_by=  0.106ms per_group= 0.109ms)
[pe] round=  6 work=     1812 frontier=     6864 next=      994 consolidate=  0.358ms frontier=  0.085ms semisort=  0.745ms (keyed= 0.011ms group_by=  0.501ms per_group= 0.125ms)
[pe] round=  7 work=      994 frontier=     3763 next=      546 consolidate=  0.231ms frontier=  0.053ms semisort=  0.357ms (keyed= 0.010ms group_by=  0.216ms per_group= 0.061ms)
[pe] round=  8 work=      546 frontier=     2568 next=      361 consolidate=  0.153ms frontier=  0.027ms semisort=  0.381ms (keyed= 0.006ms group_by=  0.211ms per_group= 0.061ms)
[pe] round=  9 work=      361 frontier=     1974 next=      271 consolidate=  0.094ms frontier=  0.019ms semisort=  0.289ms (keyed= 0.005ms group_by=  0.110ms per_group= 0.071ms)
[pe] round= 10 work=      271 frontier=      934 next=      119 consolidate=  0.065ms frontier=  0.015ms semisort=  0.102ms (keyed= 0.003ms group_by=  0.034ms per_group= 0.025ms)
[pe] round= 11 work=      119 frontier=      539 next=       96 consolidate=  0.069ms frontier=  0.007ms semisort=  0.093ms (keyed= 0.002ms group_by=  0.033ms per_group= 0.030ms)
[pe] round= 12 work=       96 frontier=      455 next=       75 consolidate=  0.056ms frontier=  0.006ms semisort=  0.078ms (keyed= 0.002ms group_by=  0.017ms per_group= 0.039ms)
[pe] round= 13 work=       75 frontier=      522 next=       87 consolidate=  0.026ms frontier=  0.006ms semisort=  0.088ms (keyed= 0.002ms group_by=  0.018ms per_group= 0.046ms)
[pe] round= 14 work=       87 frontier=      349 next=       67 consolidate=  0.031ms frontier=  0.006ms semisort=  0.060ms (keyed= 0.001ms group_by=  0.012ms per_group= 0.024ms)
[pe] round= 15 work=       67 frontier=      315 next=       56 consolidate=  0.037ms frontier=  0.005ms semisort=  0.050ms (keyed= 0.001ms group_by=  0.012ms per_group= 0.017ms)
[pe] round= 16 work=       56 frontier=      294 next=       48 consolidate=  0.036ms frontier=  0.004ms semisort=  0.045ms (keyed= 0.001ms group_by=  0.010ms per_group= 0.016ms)
[pe] round= 17 work=       48 frontier=      546 next=      104 consolidate=  0.043ms frontier=  0.004ms semisort=  0.084ms (keyed= 0.002ms group_by=  0.019ms per_group= 0.035ms)
[pe] round= 18 work=      104 frontier=     1028 next=       86 consolidate=  0.033ms frontier=  0.007ms semisort=  0.131ms (keyed= 0.003ms group_by=  0.042ms per_group= 0.055ms)
[pe] round= 19 work=       86 frontier=      674 next=       34 consolidate=  0.050ms frontier=  0.005ms semisort=  0.074ms (keyed= 0.002ms group_by=  0.026ms per_group= 0.027ms)
[pe] round= 20 work=       34 frontier=      184 next=       31 consolidate=  0.024ms frontier=  0.004ms semisort=  0.037ms (keyed= 0.001ms group_by=  0.005ms per_group= 0.013ms)
[pe] round= 21 work=       31 frontier=      202 next=       27 consolidate=  0.033ms frontier=  0.002ms semisort=  0.041ms (keyed= 0.001ms group_by=  0.007ms per_group= 0.016ms)
[pe] round= 22 work=       27 frontier=      161 next=       25 consolidate=  0.028ms frontier=  0.002ms semisort=  0.042ms (keyed= 0.001ms group_by=  0.008ms per_group= 0.012ms)
[pe] round= 23 work=       25 frontier=      155 next=       25 consolidate=  0.014ms frontier=  0.003ms semisort=  0.033ms (keyed= 0.001ms group_by=  0.006ms per_group= 0.012ms)
[pe] round= 24 work=       25 frontier=      150 next=       25 consolidate=  0.020ms frontier=  0.003ms semisort=  0.035ms (keyed= 0.001ms group_by=  0.005ms per_group= 0.013ms)
[pe] round= 25 work=       25 frontier=      182 next=       25 consolidate=  0.022ms frontier=  0.002ms semisort=  0.035ms (keyed= 0.001ms group_by=  0.006ms per_group= 0.012ms)
[pe] round= 26 work=       25 frontier=      152 next=       23 consolidate=  0.019ms frontier=  0.002ms semisort=  0.031ms (keyed= 0.001ms group_by=  0.005ms per_group= 0.011ms)
[pe] round= 27 work=       23 frontier=      139 next=       21 consolidate=  0.019ms frontier=  0.003ms semisort=  0.031ms (keyed= 0.001ms group_by=  0.005ms per_group= 0.011ms)
[pe] round= 28 work=       21 frontier=      127 next=       21 consolidate=  0.019ms frontier=  0.002ms semisort=  0.027ms (keyed= 0.001ms group_by=  0.004ms per_group= 0.011ms)
[pe] round= 29 work=       21 frontier=      126 next=       16 consolidate=  0.017ms frontier=  0.003ms semisort=  0.024ms (keyed= 0.001ms group_by=  0.004ms per_group= 0.008ms)
[pe] round= 30 work=       16 frontier=       86 next=       14 consolidate=  0.015ms frontier=  0.002ms semisort=  0.019ms (keyed= 0.001ms group_by=  0.003ms per_group= 0.007ms)
[pe] round= 31 work=       14 frontier=       85 next=       14 consolidate=  0.011ms frontier=  0.003ms semisort=  0.023ms (keyed= 0.000ms group_by=  0.004ms per_group= 0.008ms)
[pe] round= 32 work=       14 frontier=       77 next=       14 consolidate=  0.013ms frontier=  0.002ms semisort=  0.019ms (keyed= 0.001ms group_by=  0.003ms per_group= 0.006ms)
[pe] round= 33 work=       14 frontier=      106 next=       12 consolidate=  0.012ms frontier=  0.002ms semisort=  0.024ms (keyed= 0.001ms group_by=  0.004ms per_group= 0.008ms)
[pe] round= 34 work=       12 frontier=       67 next=       10 consolidate=  0.012ms frontier=  0.002ms semisort=  0.021ms (keyed= 0.000ms group_by=  0.003ms per_group= 0.007ms)
[pe] round= 35 work=       10 frontier=       54 next=        6 consolidate=  0.011ms frontier=  0.002ms semisort=  0.013ms (keyed= 0.000ms group_by=  0.002ms per_group= 0.004ms)
[pe] round= 36 work=        6 frontier=       23 next=        4 consolidate=  0.009ms frontier=  0.001ms semisort=  0.007ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.002ms)
[pe] round= 37 work=        4 frontier=       41 next=        4 consolidate=  0.006ms frontier=  0.001ms semisort=  0.010ms (keyed= 0.000ms group_by=  0.002ms per_group= 0.002ms)
[pe] round= 38 work=        4 frontier=       24 next=        5 consolidate=  0.006ms frontier=  0.002ms semisort=  0.007ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.003ms)
[pe] round= 39 work=        5 frontier=       13 next=        3 consolidate=  0.005ms frontier=  0.001ms semisort=  0.005ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.002ms)
[pe] round= 40 work=        3 frontier=        4 next=        2 consolidate=  0.003ms frontier=  0.001ms semisort=  0.003ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.001ms)
[pe] round= 41 work=        2 frontier=       26 next=        2 consolidate=  0.003ms frontier=  0.001ms semisort=  0.006ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.002ms)
[pe] round= 42 work=        2 frontier=        8 next=        2 consolidate=  0.003ms frontier=  0.000ms semisort=  0.003ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.001ms)
[pe] round= 43 work=        2 frontier=        8 next=        2 consolidate=  0.003ms frontier=  0.000ms semisort=  0.004ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.001ms)
[pe] round= 44 work=        2 frontier=        4 next=        2 consolidate=  0.002ms frontier=  0.000ms semisort=  0.002ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.001ms)
[pe] round= 45 work=        2 frontier=       26 next=        2 consolidate=  0.003ms frontier=  0.000ms semisort=  0.007ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.002ms)
[pe] round= 46 work=        2 frontier=        8 next=        2 consolidate=  0.003ms frontier=  0.000ms semisort=  0.004ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.001ms)
[pe] round= 47 work=        2 frontier=        8 next=        2 consolidate=  0.003ms frontier=  0.000ms semisort=  0.003ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.001ms)
[pe] round= 48 work=        2 frontier=        4 next=        2 consolidate=  0.003ms frontier=  0.000ms semisort=  0.002ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.001ms)
[pe] round= 49 work=        2 frontier=       20 next=        2 consolidate=  0.003ms frontier=  0.000ms semisort=  0.006ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.002ms)
[pe] round= 50 work=        2 frontier=        4 next=        2 consolidate=  0.003ms frontier=  0.000ms semisort=  0.002ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.001ms)
[pe] round= 51 work=        2 (tail-skip: all parents empty)
[pe] round=  0 work=  8509525 frontier=  5063084 next=    59086 consolidate=108.790ms frontier= 15.621ms semisort= 33.147ms (keyed= 7.149ms group_by=  0.864ms per_group= 3.386ms)
[pe] round=  1 work=    59086 frontier=   551494 next=    13151 consolidate=  3.647ms frontier=  1.614ms semisort=  4.156ms (keyed= 0.946ms group_by=  0.156ms per_group= 0.716ms)
[pe] round=  2 work=    13151 frontier=   120430 next=    10937 consolidate=  0.744ms frontier=  0.128ms semisort=  2.205ms (keyed= 0.029ms group_by=  1.177ms per_group= 0.401ms)
[pe] round=  3 work=    10937 frontier=    64865 next=     7757 consolidate=  0.715ms frontier=  0.131ms semisort=  1.443ms (keyed= 0.108ms group_by=  0.687ms per_group= 0.275ms)
[pe] round=  4 work=     7757 frontier=    25747 next=     3790 consolidate=  1.421ms frontier=  0.227ms semisort=  0.757ms (keyed= 0.014ms group_by=  0.338ms per_group= 0.153ms)
[pe] round=  5 work=     3790 frontier=    12633 next=     1812 consolidate=  0.762ms frontier=  0.113ms semisort=  0.384ms (keyed= 0.013ms group_by=  0.093ms per_group= 0.104ms)
[pe] round=  6 work=     1812 frontier=     6864 next=      994 consolidate=  0.373ms frontier=  0.078ms semisort=  0.722ms (keyed= 0.011ms group_by=  0.495ms per_group= 0.109ms)
[pe] round=  7 work=      994 frontier=     3763 next=      546 consolidate=  0.274ms frontier=  0.044ms semisort=  0.393ms (keyed= 0.010ms group_by=  0.212ms per_group= 0.065ms)
[pe] round=  8 work=      546 frontier=     2568 next=      361 consolidate=  0.171ms frontier=  0.027ms semisort=  0.378ms (keyed= 0.006ms group_by=  0.224ms per_group= 0.046ms)
[pe] round=  9 work=      361 frontier=     1974 next=      271 consolidate=  0.116ms frontier=  0.018ms semisort=  0.286ms (keyed= 0.006ms group_by=  0.134ms per_group= 0.046ms)
[pe] round= 10 work=      271 frontier=      934 next=      119 consolidate=  0.061ms frontier=  0.017ms semisort=  0.120ms (keyed= 0.003ms group_by=  0.055ms per_group= 0.025ms)
[pe] round= 11 work=      119 frontier=      539 next=       96 consolidate=  0.040ms frontier=  0.007ms semisort=  0.096ms (keyed= 0.002ms group_by=  0.034ms per_group= 0.032ms)
[pe] round= 12 work=       96 frontier=      455 next=       75 consolidate=  0.032ms frontier=  0.006ms semisort=  0.075ms (keyed= 0.002ms group_by=  0.021ms per_group= 0.024ms)
[pe] round= 13 work=       75 frontier=      522 next=       87 consolidate=  0.035ms frontier=  0.006ms semisort=  0.078ms (keyed= 0.002ms group_by=  0.026ms per_group= 0.021ms)
[pe] round= 14 work=       87 frontier=      349 next=       67 consolidate=  0.030ms frontier=  0.007ms semisort=  0.072ms (keyed= 0.001ms group_by=  0.021ms per_group= 0.020ms)
[pe] round= 15 work=       67 frontier=      315 next=       56 consolidate=  0.026ms frontier=  0.005ms semisort=  0.053ms (keyed= 0.001ms group_by=  0.015ms per_group= 0.016ms)
[pe] round= 16 work=       56 frontier=      294 next=       48 consolidate=  0.036ms frontier=  0.004ms semisort=  0.047ms (keyed= 0.001ms group_by=  0.011ms per_group= 0.016ms)
[pe] round= 17 work=       48 frontier=      546 next=      104 consolidate=  0.041ms frontier=  0.003ms semisort=  0.103ms (keyed= 0.006ms group_by=  0.022ms per_group= 0.049ms)
[pe] round= 18 work=      104 frontier=     1028 next=       86 consolidate=  0.045ms frontier=  0.007ms semisort=  0.132ms (keyed= 0.003ms group_by=  0.050ms per_group= 0.044ms)
[pe] round= 19 work=       86 frontier=      674 next=       34 consolidate=  0.067ms frontier=  0.006ms semisort=  0.077ms (keyed= 0.002ms group_by=  0.029ms per_group= 0.026ms)
[pe] round= 20 work=       34 frontier=      184 next=       31 consolidate=  0.017ms frontier=  0.004ms semisort=  0.036ms (keyed= 0.001ms group_by=  0.006ms per_group= 0.013ms)
[pe] round= 21 work=       31 frontier=      202 next=       27 consolidate=  0.033ms frontier=  0.002ms semisort=  0.038ms (keyed= 0.001ms group_by=  0.007ms per_group= 0.013ms)
[pe] round= 22 work=       27 frontier=      161 next=       25 consolidate=  0.019ms frontier=  0.003ms semisort=  0.035ms (keyed= 0.001ms group_by=  0.008ms per_group= 0.012ms)
[pe] round= 23 work=       25 frontier=      155 next=       25 consolidate=  0.016ms frontier=  0.003ms semisort=  0.033ms (keyed= 0.001ms group_by=  0.006ms per_group= 0.011ms)
[pe] round= 24 work=       25 frontier=      150 next=       25 consolidate=  0.018ms frontier=  0.002ms semisort=  0.030ms (keyed= 0.001ms group_by=  0.005ms per_group= 0.011ms)
[pe] round= 25 work=       25 frontier=      182 next=       25 consolidate=  0.015ms frontier=  0.003ms semisort=  0.033ms (keyed= 0.001ms group_by=  0.006ms per_group= 0.011ms)
[pe] round= 26 work=       25 frontier=      152 next=       23 consolidate=  0.017ms frontier=  0.003ms semisort=  0.032ms (keyed= 0.001ms group_by=  0.006ms per_group= 0.012ms)
[pe] round= 27 work=       23 frontier=      139 next=       21 consolidate=  0.020ms frontier=  0.002ms semisort=  0.031ms (keyed= 0.001ms group_by=  0.005ms per_group= 0.011ms)
[pe] round= 28 work=       21 frontier=      127 next=       21 consolidate=  0.015ms frontier=  0.002ms semisort=  0.029ms (keyed= 0.001ms group_by=  0.004ms per_group= 0.012ms)
[pe] round= 29 work=       21 frontier=      126 next=       16 consolidate=  0.016ms frontier=  0.003ms semisort=  0.026ms (keyed= 0.001ms group_by=  0.004ms per_group= 0.009ms)
[pe] round= 30 work=       16 frontier=       86 next=       14 consolidate=  0.022ms frontier=  0.003ms semisort=  0.022ms (keyed= 0.000ms group_by=  0.003ms per_group= 0.009ms)
[pe] round= 31 work=       14 frontier=       85 next=       14 consolidate=  0.012ms frontier=  0.002ms semisort=  0.022ms (keyed= 0.000ms group_by=  0.004ms per_group= 0.008ms)
[pe] round= 32 work=       14 frontier=       77 next=       14 consolidate=  0.011ms frontier=  0.002ms semisort=  0.020ms (keyed= 0.001ms group_by=  0.003ms per_group= 0.007ms)
[pe] round= 33 work=       14 frontier=      106 next=       12 consolidate=  0.015ms frontier=  0.001ms semisort=  0.023ms (keyed= 0.001ms group_by=  0.003ms per_group= 0.008ms)
[pe] round= 34 work=       12 frontier=       67 next=       10 consolidate=  0.012ms frontier=  0.002ms semisort=  0.021ms (keyed= 0.001ms group_by=  0.003ms per_group= 0.007ms)
[pe] round= 35 work=       10 frontier=       54 next=        6 consolidate=  0.011ms frontier=  0.002ms semisort=  0.015ms (keyed= 0.001ms group_by=  0.002ms per_group= 0.005ms)
[pe] round= 36 work=        6 frontier=       23 next=        4 consolidate=  0.007ms frontier=  0.001ms semisort=  0.007ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.002ms)
[pe] round= 37 work=        4 frontier=       41 next=        4 consolidate=  0.006ms frontier=  0.001ms semisort=  0.009ms (keyed= 0.000ms group_by=  0.002ms per_group= 0.002ms)
[pe] round= 38 work=        4 frontier=       24 next=        5 consolidate=  0.007ms frontier=  0.001ms semisort=  0.008ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.003ms)
[pe] round= 39 work=        5 frontier=       13 next=        3 consolidate=  0.005ms frontier=  0.001ms semisort=  0.005ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.002ms)
[pe] round= 40 work=        3 frontier=        4 next=        2 consolidate=  0.003ms frontier=  0.001ms semisort=  0.003ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.001ms)
[pe] round= 41 work=        2 frontier=       26 next=        2 consolidate=  0.003ms frontier=  0.001ms semisort=  0.006ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.002ms)
[pe] round= 42 work=        2 frontier=        8 next=        2 consolidate=  0.003ms frontier=  0.000ms semisort=  0.003ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.001ms)
[pe] round= 43 work=        2 frontier=        8 next=        2 consolidate=  0.003ms frontier=  0.000ms semisort=  0.005ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.001ms)
[pe] round= 44 work=        2 frontier=        4 next=        2 consolidate=  0.003ms frontier=  0.000ms semisort=  0.003ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.001ms)
[pe] round= 45 work=        2 frontier=       26 next=        2 consolidate=  0.003ms frontier=  0.000ms semisort=  0.007ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.002ms)
[pe] round= 46 work=        2 frontier=        8 next=        2 consolidate=  0.003ms frontier=  0.000ms semisort=  0.003ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.001ms)
[pe] round= 47 work=        2 frontier=        8 next=        2 consolidate=  0.002ms frontier=  0.000ms semisort=  0.003ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.001ms)
